Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Steelers,34,41,82.9,1_1,10_10,16_14,13_8,0_0,0_0,50,0
Falcons,33,40,82.5,1_1,8_8,11_11,11_5,0_0,0_0,59,2
Bills,31,40,77.5,0_0,14_13,15_13,6_3,0_0,0_0,51,0
Broncos,31,38,81.6,0_0,9_7,15_14,7_5,0_0,0_0,56,0
Cardinals,30,39,76.9,1_1,14_13,10_9,8_6,0_0,0_0,55,1
Bengals,29,36,80.6,0_0,9_8,11_10,14_10,0_0,0_0,51,1
Browns,29,33,87.9,1_1,12_12,10_9,9_7,0_0,0_0,47,0
Lions,28,34,82.4,2_2,4_4,17_16,10_5,0_0,0_0,56,3
Cowboys,27,28,96.4,0_0,12_11,13_13,3_3,0_0,0_0,45,0
Oilers,27,31,87.1,3_3,3_3,8_8,12_10,0_0,0_0,53,0
Dolphins,27,34,79.4,1_1,10_7,11_11,7_6,0_0,0_0,51,2
Redskins,27,36,75,1_1,9_9,13_10,11_6,0_0,0_0,52,0
Panthers,26,33,78.8,0_0,6_6,14_10,12_9,0_0,0_0,52,2
Vikings,26,36,72.2,1_1,9_8,10_7,12_9,0_0,0_0,51,0
Chiefs,24,30,80,0_0,11_10,9_7,10_7,0_0,0_0,49,0
Bears,23,31,74.2,0_0,19_16,6_5,4_2,0_0,0_0,47,1
Colts,23,33,69.7,0_0,7_7,12_6,12_8,0_0,0_0,52,2
Patriots,23,33,69.7,2_1,12_12,7_3,7_5,0_0,0_0,55,1
Seahawks,23,28,82.1,1_1,5_5,10_9,10_8,0_0,0_0,49,1
Eagles,22,30,73.3,0_0,5_5,10_9,12_8,0_0,0_0,43,1
Raiders,21,27,77.8,1_1,8_7,10_9,6_4,0_0,0_0,46,0
Chargers,21,26,80.8,0_0,8_8,11_10,5_3,0_0,0_0,45,0
Packers,20,28,71.4,0_0,7_6,5_2,12_9,0_0,0_0,51,0
Jaguars,20,27,74.1,0_0,9_7,8_7,7_4,0_0,0_0,53,2
Saints,20,31,64.5,0_0,10_8,10_7,8_4,0_0,0_0,51,0
Giants,20,28,71.4,0_0,7_7,10_9,9_2,0_0,0_0,51,3
49ers,20,28,71.4,1_1,9_9,9_6,8_3,0_0,0_0,51,1
Buccaneers,19,26,73.1,1_1,6_5,7_5,9_5,0_0,0_0,53,1
Rams,17,28,60.7,1_1,9_8,10_5,4_2,0_0,0_0,51,1
Jets,17,21,81,0_0,4_4,10_8,3_3,0_0,0_0,50,0
