Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Lions,93,6221,13,14,80,22.8,0,0,0,0
Steelers,93,5411,3,3.2,88,17.6,0,0,2,0
49ers,93,5896,9,9.7,82,22.6,0,0,2,0
Cowboys,92,5692,4,4.4,85,19.5,2,0,1,0
Dolphins,90,5549,3,3.3,85,21,1,0,1,0
Falcons,87,5952,27,31,59,22.4,0,0,1,0
Broncos,87,5338,8,9.2,77,21.7,2,0,1,2
Packers,86,5479,10,11.6,74,21.4,1,0,1,0
Bills,85,5313,9,10.6,73,22.1,1,0,1,0
Bears,85,5276,7,8.2,72,21.8,0,0,6,0
Vikings,85,5254,8,9.4,74,21.4,2,0,1,0
Oilers,83,4616,0,0,78,18.8,5,1,1,0
Bengals,81,4958,9,11.1,65,22.7,3,1,4,0
Raiders,80,4768,7,8.8,68,21.6,2,1,3,0
Seahawks,80,5076,8,10,70,23.8,1,0,1,2
Chiefs,79,4853,6,7.6,71,20.4,1,0,1,0
Redskins,77,4590,2,2.6,70,20.5,1,0,4,1
Colts,76,4856,8,10.5,68,22.7,0,0,0,1
Chargers,74,4809,9,12.2,63,23.8,0,0,2,0
Saints,73,4323,2,2.7,68,19.8,3,0,0,0
Eagles,73,4511,10,13.7,61,25.8,0,0,2,0
Panthers,71,4015,3,4.2,62,18.7,4,0,2,0
Browns,71,4449,7,9.9,63,18.6,0,0,1,0
Patriots,70,4183,1,1.4,67,21,1,0,1,0
Cardinals,70,4168,1,1.4,65,24.5,4,0,0,2
Rams,69,3962,2,2.9,59,21.1,3,1,4,0
Giants,69,4427,13,18.8,54,20.9,1,0,1,0
Jaguars,66,3615,3,4.6,54,23.7,9,4,0,1
Jets,58,3704,14,24.1,42,23.5,1,0,1,0
Buccaneers,58,3728,8,13.8,46,18.6,1,0,3,0
