Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Steelers,34,82.9,39,100,0,1
Falcons,33,82.5,29,96.7,0,1
Bills,31,77.5,33,94.3,0,0
Broncos,31,81.6,39,100,0,0
Cardinals,30,76.9,19,100,0,0
Bengals,29,80.6,34,100,0,0
Browns,29,87.9,26,100,0,1
Lions,28,82.4,48,100,0,0
Cowboys,27,96.4,46,95.8,0,0
Oilers,27,87.1,33,100,0,0
Dolphins,27,79.4,37,100,0,0
Redskins,27,75,33,100,0,1
Panthers,26,78.8,27,96.4,0,1
Vikings,26,72.2,44,100,0,1
Chiefs,24,80,34,91.9,2,1
Bears,23,74.2,45,100,0,0
Colts,23,69.7,34,100,1,0
Patriots,23,69.7,27,100,0,0
Seahawks,23,82.1,40,100,0,1
Eagles,22,73.3,32,97,1,0
Raiders,21,77.8,39,97.5,1,0
Chargers,21,80.8,32,97,2,1
Packers,20,71.4,48,100,0,0
Jaguars,20,74.1,27,96.4,1,0
Saints,20,64.5,27,93.1,0,0
Giants,20,71.4,28,100,1,0
49ers,20,71.4,51,94.4,0,1
Buccaneers,19,73.1,25,100,0,0
Rams,17,60.7,30,96.8,0,0
Jets,17,81,24,100,0,0
