Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,382,1740,4.6,12,96,25.1
Titans,427,1933,4.5,18,113,26.5
Patriots,464,2103,4.5,17,131,28.2
Browns,412,1773,4.3,16,116,28.2
Saints,390,1502,3.8,11,85,21.8
Cardinals,436,2008,4.6,13,118,27.1
Rams,388,1460,3.8,12,91,23.4
Vikings,472,2151,4.6,19,136,28.8
Chargers,427,1917,4.5,17,112,26.2
Colts,390,1448,3.7,16,94,24.1
Raiders,438,2013,4.6,24,114,26
Packers,397,1805,4.6,16,119,30
Broncos,434,2080,4.8,22,106,24.4
49ers,430,1703,4,12,102,23.7
Cowboys,510,2541,5,20,142,27.8
Dolphins,412,1862,4.5,17,113,27.4
Bills,414,1914,4.6,21,125,30.2
Bengals,463,2368,5.1,13,126,27.2
Seahawks,392,1529,3.9,18,97,24.7
Falcons,380,1677,4.4,15,97,25.5
Panthers,408,1936,4.8,17,114,27.9
Jets,445,1792,4,16,100,22.5
Chiefs,433,1954,4.5,14,113,26.1
Eagles,481,2012,4.2,20,98,20.4
Football Team,428,1805,4.2,14,100,23.4
Giants,432,1782,4.1,14,115,26.6
Bears,438,1814,4.1,11,104,23.7
Steelers,414,1783,4.3,13,94,22.7
Buccaneers,358,1289,3.6,10,78,21.8
Lions,487,2158,4.4,27,127,26.1
Texans,493,2564,5.2,24,145,29.4
Jaguars,517,2452,4.7,23,140,27.1
