Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Rafael Septien,27,35,77.1,1/1,11/11,8/9,7/12,0/0,0/0,47,0
Nick Lowery,26,36,72.2,0/0,5/5,13/15,7/9,0/0,0/0,52,0
Pat Leahy,25,36,69.4,0/0,11/13,6/8,8/12,0/0,0/0,49,1
Eddie Murray,25,35,71.4,1/1,5/5,9/14,7/11,0/0,0/0,53,0
Joe Danelo,24,38,63.2,1/1,7/9,7/9,6/11,0/0,0/0,55,0
Uwe von Schamann,24,31,77.4,0/0,9/9,11/12,4/10,0/0,0/0,46,0
Jim Breech,22,32,68.8,0/0,9/11,7/9,5/11,0/0,0/0,51,1
Jan Stenerud,22,24,91.7,2/2,7/8,9/9,2/3,0/0,0/0,53,0
Rick Danmeier,21,25,84,1/1,5/6,11/12,4/6,0/0,0/0,45,0
Mick Luckhurst,21,33,63.6,1/2,7/7,8/12,5/11,0/0,0/0,47,0
Tony Franklin,20,31,64.5,0/0,5/5,7/9,7/13,0/0,0/0,50,0
Rolf Benirschke,19,26,73.1,2/2,7/7,5/8,3/4,0/0,0/0,52,0
Mark Moseley,19,30,63.3,1/1,7/8,6/8,5/12,0/0,0/0,49,1
Neil O'Donoghue,19,32,59.4,2/2,8/8,4/6,5/11,0/0,0/0,47,0
Frank Corral,17,26,65.4,0/0,6/9,5/6,6/11,0/0,0/0,44,2
Fred Steinfort,17,30,56.7,0/0,6/9,5/11,6/8,0/0,0/0,49,4
Ray Wersching,17,23,73.9,2/2,7/7,4/7,4/7,0/0,0/0,48,2
Matt Bahr,15,26,57.7,3/3,5/7,5/10,2/5,0/0,0/0,47,2
Bill Capece,15,24,62.5,0/0,5/7,3/5,5/10,0/0,0/0,51,1
Toni Fritsch,15,22,68.2,0/0,3/4,4/4,7/13,0/0,0/0,50,1
John Smith,15,24,62.5,0/0,7/7,2/6,5/7,0/0,0/0,50,1
Chris Bahr,14,24,58.3,0/0,6/8,2/4,3/7,0/0,0/0,51,0
Nick Mike-Mayer,14,24,58.3,0/0,4/6,5/7,5/10,0/0,0/0,46,0
Benny Ricardo,13,25,52,0/0,5/5,3/9,5/10,0/0,0/0,46,3
Efren Herrera,12,17,70.6,0/0,6/6,3/4,2/5,0/0,0/0,54,0
David Trout,12,17,70.6,3/3,5/6,1/2,3/5,0/0,0/0,48,0
John Roveto,10,18,55.6,0/1,6/7,2/3,2/7,0/0,0/0,43,1
Mike Wood,10,18,55.6,2/2,2/3,3/5,3/7,0/0,0/0,48,1
Dave Jacobs,4,12,33.3,0/0,2/3,2/6,0/1,0/0,0/0,35,3
Wilson Alvarez,3,7,42.9,0/0,3/3,0/0,0/4,0/0,0/0,28,1
Bob Thomas,2,3,66.7,0/0,1/2,1/1,0/0,0/0,0/0,37,0
Garo Yepremian,2,4,50,0/0,0/0,1/1,1/3,0/0,0/0,44,1
Steve Cox,0,1,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Hans Nielsen,0,2,0,0/0,0/1,0/1,0/0,0/0,0/0,0,0
