Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Rolf Benirschke,96,5412,1528,6,6.2,88,17.4,0,0,0,0
Mick Luckhurst,89,5384,1279,20,22.5,67,19.1,0,2,0,0
Jim Breech,86,4833,1577,6,7,79,20,0,0,0,1
Eddie Murray,84,4911,1257,13,15.5,70,18,0,0,0,0
Rafael Septien,83,5018,1508,12,14.5,71,21.2,0,0,0,0
Pat Leahy,82,5095,1400,19,23.2,62,22.6,0,0,0,0
Tony Franklin,80,4917,1334,19,23.8,60,22.2,0,0,0,0
Nick Lowery,79,4761,1287,10,12.7,68,18.9,0,0,0,0
Uwe von Schamann,79,4848,1233,18,22.8,60,20.6,0,0,0,0
Jan Stenerud,75,4193,1183,5,6.7,70,16.9,0,0,0,0
David Trout,75,4655,1231,22,29.3,51,24.1,0,0,0,0
Neil O'Donoghue,72,4413,1163,16,22.2,55,21.2,0,0,0,0
Joe Danelo,71,4242,916,21,29.6,48,19.1,0,0,0,0
Fred Steinfort,71,4319,1007,22,31,47,21.4,0,1,0,0
Frank Corral,70,4252,1443,10,14.3,60,24,0,0,0,2
Rick Danmeier,70,3688,1259,3,4.3,62,20.3,0,1,0,0
Nick Mike-Mayer,67,3829,1268,5,7.5,61,20.8,0,1,0,1
Mark Moseley,67,3682,1138,3,4.5,62,18.4,0,0,0,0
Steve Cox,65,3969,1156,19,29.2,44,26.3,0,1,0,0
Toni Fritsch,65,3525,1188,3,4.6,58,20.5,0,0,0,0
Bill Capece,61,3643,1078,9,14.8,51,21.1,0,0,0,0
Chris Bahr,59,3574,1047,11,18.6,48,21.8,0,0,0,1
Mike Wood,59,3453,848,16,27.1,42,20.2,0,0,0,0
Ray Wersching,53,3033,981,5,9.4,48,20.4,0,0,0,0
John Smith,50,2833,903,3,6,46,19.6,0,0,0,0
Russell Erxleben,49,2847,930,1,2,47,19.8,0,0,0,0
Efren Herrera,49,2669,782,1,2,46,17,0,0,0,0
John Roveto,39,2324,664,11,28.2,28,23.7,0,0,0,0
Wilson Alvarez,22,1266,377,1,4.6,20,18.8,0,0,0,0
Mike Hubach,22,1232,388,1,4.6,20,19.4,0,0,0,0
Matt Bahr,20,1157,369,3,15,17,21.7,0,0,0,0
Hans Nielsen,11,641,178,2,18.2,9,19.8,0,0,0,0
Garo Yepremian,11,658,222,0,0,11,20.2,0,0,0,0
Mike Connell,9,480,137,1,11.1,7,19.6,0,0,0,0
Bob Thomas,7,345,95,0,0,6,15.8,0,0,0,0
Benny Ricardo,4,143,17,0,0,2,8.5,0,0,0,0
Ray Guy,2,136,21,1,50,1,21,0,0,0,0
Arrington Jones,2,75,19,0,0,2,9.5,0,0,0,0
Rich Camarillo,1,46,15,0,0,1,15,0,0,0,0
John James,1,58,20,0,0,1,20,0,0,0,0
Dave Jennings,1,61,17,0,0,1,17,0,0,0,0
Pat McInally,1,56,35,0,0,1,35,0,0,0,0
Jim Miller,1,55,19,0,0,1,19,0,0,0,0
Tom Orosz,1,15,0,0,0,0,0,0,0,0,0
Cliff Parsley,1,57,13,0,0,1,13,0,0,0,0
Bob Parsons,1,61,0,0,0,1,0,0,0,0,0
Chuck Ramsey,1,46,15,0,0,1,15,0,0,0,0
Larry Swider,1,49,11,0,0,1,11,0,0,0,0
Jeff West,1,42,18,0,0,1,18,0,0,0,0
