Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Kellen Winslow,88,1075,10,15,1,67,57,64.8,2,0,0
Dwight Clark,85,1105,4,13,3,78,56,65.9,0,0,0
Ted Brown,83,694,2,4,2,63,31,37.4,0,0,0
William Andrews,81,735,2,8,1,70,35,43.2,5,0,0
Joe Senser,79,1004,8,12,2,53,54,68.4,3,0,0
Steve Largent,75,1224,9,21,5,57,54,72,1,0,0
James Lofton,71,1294,8,23,5,75,59,83.1,0,0,0
Dan Ross,71,910,5,9,0,37,50,70.4,3,0,0
Alfred Jenkins,70,1358,13,28,7,67,52,74.3,3,0,0
Charlie Joiner,70,1188,7,18,5,57,55,78.6,2,0,0
Frank Lewis,70,1244,4,28,0,33,62,88.6,1,0,0
Joe Washington,70,558,3,6,0,32,25,35.7,0,0,0
Wes Chandler,69,1142,6,23,2,51,50,72.5,1,0,0
Ozzie Newsome,69,1002,6,17,1,62,42,60.9,0,0,0
Cris Collinsworth,67,1009,8,14,2,74,50,74.6,3,0,0
Pat Tilley,66,1040,3,17,1,75,49,74.2,1,0,0
Sammy White,66,1001,3,15,3,53,44,66.7,1,0,0
Gerry Ellis,65,499,3,5,1,46,25,38.5,0,0,0
Greg Pruitt,65,636,4,7,0,33,37,56.9,2,0,0
Mike Pruitt,63,442,1,1,0,21,23,36.5,2,0,0
J.T. Smith,63,852,2,11,1,42,46,73,0,0,0
John Stallworth,63,1098,5,21,4,55,46,73,4,0,0
Harold Carmichael,61,1028,6,20,1,85,42,68.8,3,0,0
Steve Watson,60,1244,13,18,6,95,49,81.7,0,0,0
Freddie Solomon,59,969,8,18,5,60,44,74.6,0,0,0
Ahmad Rashad,58,884,7,9,3,53,45,77.6,1,0,0
Kevin House,56,1176,9,14,8,84,49,87.5,2,0,0
Art Monk,56,894,6,14,2,79,37,66.1,0,0,0
Jerry Butler,55,842,8,15,3,67,34,61.8,2,0,0
Lynn Cain,55,421,2,2,0,28,22,40,2,0,0
Paul Coffman,55,687,4,13,0,29,42,76.4,1,0,0
Duriel Harris,53,911,2,16,5,55,38,71.7,0,0,0
Freddie Scott,53,1022,5,17,5,48,47,88.7,0,0,0
Bruce Harper,52,459,1,4,0,24,26,50,1,0,0
Dave Preston,52,507,0,5,0,37,19,36.5,2,0,0
Derrick Ramsey,52,674,4,9,2,66,33,63.5,2,0,0
Ottis Anderson,51,387,0,2,0,27,17,33.3,1,0,0
Earl Cooper,51,477,0,8,2,50,17,33.3,1,0,0
Johnny Perkins,51,858,6,17,1,80,42,82.4,2,0,0
Randy McMillan,50,466,1,4,0,31,22,44,1,0,0
Tony Nathan,50,452,3,3,0,31,24,48,1,0,0
Preston Dennard,49,821,4,17,1,64,36,73.5,0,0,0
Wilbert Montgomery,49,521,2,7,0,35,26,53.1,0,0,0
Terry Metcalf,48,595,0,9,1,52,30,62.5,1,0,0
James Wilder,48,507,1,7,0,38,21,43.8,1,0,0
Wesley Walker,47,770,9,11,3,49,35,74.5,0,0,0
James Brooks,46,329,3,2,0,29,17,37,0,0,0
Ray Butler,46,832,9,13,3,67,38,82.6,0,0,0
Don Hasselbeck,46,808,6,16,3,51,39,84.8,2,0,0
Tony Hill,46,953,4,18,4,63,40,87,1,0,0
Pete Johnson,46,320,4,4,0,33,18,39.1,0,0,0
Sam McCullum,46,567,3,5,0,36,27,58.7,1,0,0
Ron Springs,46,359,2,4,0,32,22,47.8,0,0,0
Jimmie Giles,45,786,6,14,2,81,40,88.9,0,0,0
Wendell Tyler,45,436,5,4,1,67,18,40,1,0,0
Stanley Morgan,44,1029,6,19,7,76,38,86.4,1,0,0
Sherman Smith,44,406,1,4,0,28,20,45.4,0,0,0
Chuck Muncie,43,362,0,3,0,32,17,39.5,1,0,0
Rickey Young,43,296,2,1,0,22,14,32.6,2,0,0
Gary Shirk,42,445,3,3,1,46,17,40.5,1,0,0
Cliff Branch,41,635,1,8,2,53,35,85.4,0,0,0
Bennie Cunningham,41,574,3,10,0,30,30,73.2,0,0,0
Walter Payton,41,379,2,4,0,30,18,43.9,3,0,0
Ken Burrough,40,668,7,13,5,71,24,60,1,0,0
Joe Cribbs,40,603,7,8,4,65,22,55,0,0,0
Jerome Barkum,39,495,7,4,1,40,25,64.1,0,0,0
Harold Jackson,39,669,0,12,1,45,29,74.4,1,0,0
John Jefferson,39,632,4,13,1,41,30,76.9,0,0,0
Andy Johnson,39,429,1,4,0,36,20,51.3,1,0,0
Ken Margerum,39,584,1,8,1,41,31,79.5,0,0,0
Mike Renfro,39,451,1,3,1,43,21,53.8,2,0,0
Roger Carr,38,584,3,15,1,43,27,71,0,0,0
Jack Holmes,38,206,0,0,0,19,9,23.7,0,0,0
Henry Marshall,38,620,4,12,4,64,25,65.8,2,0,0
Riley Odoms,38,516,5,5,0,28,28,73.7,1,0,0
Drew Pearson,38,614,3,11,1,42,28,73.7,3,0,0
