Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Pat McInally,45.4,36.6,2636,73,62,3272,17,10,6,11,3,42,416,0,1
Ray Guy,43.7,35.2,3381,96,69,4195,23,22,2,15,12,45,514,0,0
Tom Skladany,43.5,37.3,2385,64,74,2784,21,7,7,5,6,39,299,0,0
Craig Colquitt,43.4,35.3,2963,84,74,3641,25,12,12,16,10,34,358,2,0
Dave Jennings,43.3,35,3397,97,62,4198,19,10,8,12,6,61,561,1,0
Larry Swider,42.7,34.3,1987,60,62,2476,13,5,6,4,4,39,409,0,2
Steve Cox,42.4,35.2,2391,70,66,2884,11,8,14,12,4,30,253,0,2
Frank Corral,42,35.9,3194,89,67,3735,19,13,13,3,8,52,481,0,0
Carl Birdsong,41.8,35.5,2447,69,75,2883,18,7,7,8,10,37,276,0,0
Rich Camarillo,41.7,33.4,1570,47,75,1959,12,5,9,9,4,20,209,1,0
Jim Miller,41.5,31.1,2894,93,65,3858,14,4,9,15,8,57,664,1,0
Greg Coleman,41.4,34.4,3027,88,73,3646,17,14,8,11,9,46,399,1,0
George Roberts,41,36,2232,63,61,2540,16,15,2,7,7,31,168,0,1
Tom Blanchard,40.9,27.3,600,22,58,899,4,5,0,2,2,13,259,1,0
Tom Orosz,40.8,34.7,2880,83,61,3386,21,10,8,11,9,45,286,0,0
Danny White,40.8,36.1,2851,79,60,3222,19,18,10,7,6,38,231,0,0
Max Runager,40.8,34.9,2201,63,64,2567,18,16,6,6,1,34,246,0,0
John James,40.7,32.9,2866,88,62,3543,13,4,9,5,10,59,577,2,1
Chuck Ramsey,40.6,35.6,2881,81,65,3290,27,12,16,13,9,31,149,0,0
Ray Stachowicz,40.6,32.2,2639,84,72,3330,16,10,9,9,4,50,511,0,2
Russell Erxleben,40.5,34.4,2270,66,60,2672,11,8,3,6,13,36,282,0,0
Luke Prestridge,40.4,34.8,2990,86,67,3478,20,10,8,5,17,46,388,0,0
Mike Connell,40,33.4,2435,73,57,2923,13,0,6,5,12,50,388,1,0
Bob Parsons,39.8,33.3,3797,114,55,4531,31,10,19,7,12,66,594,1,0
Cliff Parsley,39.7,34.4,2717,79,62,3137,17,2,8,3,19,47,360,0,0
Greg Cater,39.7,33.9,2715,80,71,3175,16,10,11,12,13,34,220,0,0
Mike Garrett,39.4,33.7,2629,78,57,3071,11,8,14,2,10,44,402,0,0
Jeff Gossett,39.3,32.9,953,29,55,1141,4,2,2,3,2,20,128,0,0
Jeff West,39.1,36.1,2385,66,56,2578,16,7,8,2,17,32,153,0,0
Mike Hubach,38.2,31.1,591,19,56,726,2,1,3,2,1,12,95,0,0
Bob Grupp,38,33.4,1371,41,57,1556,5,8,3,1,3,26,165,0,0
Frank Garcia,37,37,74,2,41,74,0,0,0,0,1,1,0,0,0
Rafael Septien,31,31,62,2,33,62,0,0,0,0,2,0,0,0,0
Ken Hartley,29.6,25,225,9,41,266,0,0,1,2,3,3,1,0,0
Chris Bahr,21.5,11.5,23,2,32,43,0,1,0,1,0,0,0,0,0
Tony Franklin,13,13,13,1,13,13,0,1,0,0,0,0,0,0,0
