Player,Comb,Asst,Solo,Sck
Matt Blair,134,23,79,0
Michael Jackson,129,36,60,0
Gregg Bingham,124,24,69,0
Rod Martin,124,7,104,0
Scott Studwell,122,22,70,0
Mike Douglass,116,9,103,0
Buddy Curry,115,21,80,0
Earnest Rhone,115,8,100,0
Randy Gradishar,114,8,102,0
Neal Olkewicz,113,17,82,0
Cecil Johnson,109,5,101,0
Robert Brazile,108,20,65,0
Linden King,106,25,69,0
Rich Wingo,105,3,92,0
Matt Millen,104,22,73,0
Glen Redd,102,13,74,0
Gary Fencik,99,6,83,0
Clay Matthews,99,30,51,0
Lance Mehl,98,22,52,0
Dick Ambrose,96,25,45,0
Hugh Green,96,2,91,0
Daryl Hunt,95,21,56,0
Rickey Jackson,95,14,71,0
Keith Butler,93,23,51,0
Gary Spani,93,16,67,0
Burgess Owens,91,8,74,0
Kenny Easley,89,20,60,0
Mark Murphy,89,13,62,0
Richard Wood,89,3,83,0
Jim Haslett,88,18,54,0
Carl Ekern,87,16,56,0
Pete Shaw,87,4,75,0
Nolan Cromwell,86,10,62,0
Jack Reynolds,86,24,47,0
Fulton Kuykendall,85,8,60,0
Tom Pridemore,85,11,64,0
George Cumby,84,7,73,0
Garry Cobb,83,6,68,0
Tom Hannon,83,12,54,0
Jim Kovach,83,12,56,0
Vernon Perry,83,14,50,0
Woodrow Lowe,82,14,53,0
Ken Fantetti,81,3,75,0
Bob Golic,80,8,61,0
Al Richardson,79,13,62,0
John Anderson,78,3,73,0
John Harris,78,14,48,0
Johnny Robinson,77,8,59,0
Willie Buchanon,76,7,61,0
Harry Carson,76,8,54,0
Bill Gay,76,11,61,0
David Logan,76,1,70,0
Don Goode,75,21,34,0
A.J. Duhe,73,7,63,0
Jacob Green,73,12,48,0
Jack Lambert,73,5,60,0
Bob Breunig,72,19,29,0
Johnnie Johnson,72,16,53,0
Kurt Knoff,72,11,57,0
Tom Myers,72,14,51,0
Randy McClanahan,71,9,55,0
Odis McKinney,71,5,64,0
Bill Simpson,71,21,45,0
Lyle Alzado,70,15,37,0
Stan Blinka,70,22,28,0
Bob Swenson,70,3,63,0
Bob Baumhower,69,8,56,0
Tom Jackson,69,2,60,0
Fred McNeill,69,12,44,0
Glenn Blackwood,68,4,60,0
Joe Klecko,68,11,37,0
Steve Nelson,68,4,61,0
Abdul Salaam,68,16,36,0
Wayne Smith,68,4,59,0
Gary Barbaro,67,8,45,0
Greg Buttle,67,14,43,0
Mike Reinfeldt,67,20,34,0
Manu Tuiasosopo,67,13,44,0
Ron Bolton,66,8,46,0
Tim Fox,66,3,59,0
Steve Freeman,66,12,44,0
Robert Jackson,66,21,34,0
Randy White,66,11,43,0
Bob Brudzinski,65,5,54,0
Ken Schroy,65,15,33,0
Clarence Scott,65,8,47,0
Lucius Sanford,64,8,41,0
Ted Washington,64,15,36,0
Gary Johnson,63,18,36,0
Ronnie Lott,63,10,41,0
Ben Williams,63,11,40,0
Jim Youngblood,63,6,50,0
Monte Coleman,62,10,43,0
Michael Downs,62,11,49,0
Joe Norman,62,14,32,0
Ray Oldham,62,0,60,0
Rod Shoate,62,4,54,0
Norris Thomas,62,1,59,0
Keena Turner,62,9,45,0
Charlie Waters,62,8,45,0
Ted Hendricks,61,4,46,0
Nesby Glasgow,60,7,45,0
Bob Glazebrook,60,5,50,0
Larry Gordon,60,1,52,0
Mike Hawkins,60,4,51,0
Louie Kelcher,60,7,42,0
Dave Ahrens,59,7,46,0
Russell Gary,59,3,52,0
Barry Krauss,59,9,42,0
Carlton Williamson,59,10,42,0
Jimmy Allen,58,2,52,0
Henry Bradley,58,16,21,0
Al Harris,58,5,50,0
Lloyd Burruss,57,4,49,0
Ken Greene,57,7,44,0
Bob Horn,57,5,43,0
Brian Kelley,57,14,37,0
Dennis Thurman,57,9,43,0
James White,57,16,37,0
Eric Wright,57,10,42,0
Doug Betters,56,7,46,0
Neal Colzie,56,4,51,0
Mark Gastineau,56,13,32,0
Terry Jones,56,2,50,0
Bruce Laird,56,11,41,0
Mark Mullaney,56,8,33,0
Whitney Paul,56,6,38,0
Lawrence Taylor,56,5,46,0
Andy Hawkins,55,0,53,0
Dwight Hicks,55,5,44,0
Ken Kennard,55,12,27,0
George Andrews,54,5,37,0
Charles Jackson,54,5,43,0
Kerry Justin,54,12,28,0
Marty Lyons,54,18,25,0
Otis Wilson,54,2,52,0
Bob Gregor,53,7,37,0
Bill Matthews,53,4,46,0
John Woodcock,53,14,30,0
Richard Bishop,52,7,39,0
Mario Clark,52,6,42,0
Gary Green,52,7,43,0
Willie Harper,52,14,25,0
Eric Harris,52,8,40,0
John Matuszak,52,10,36,0
Lawrence Pillers,52,14,27,0
Everson Walls,52,3,47,0
Jerry Blanton,51,15,28,0
Dave Butz,51,5,32,0
Isiah Robertson,51,10,31,0
Mike Singletary,51,3,40,0
Doug English,50,7,41,0
Curtis Greer,50,5,41,0
Jack Ham,50,10,34,0
Dan Hampton,50,3,44,0
Kenny Johnson,50,6,40,0
Lee Nelson,50,7,39,0
Charles Romes,50,2,40,0
Mike White,50,12,29,0
Jack Youngblood,50,5,43,0
Raymond Clayborn,49,2,45,0
Bobby Leopold,49,11,28,0
Doug Plank,49,6,39,0
Rick Sanford,49,3,43,0
Dave Waymer,49,1,42,0
Jeris White,49,6,36,0
Terry Beeson,48,8,28,0
Mike Butler,48,5,42,0
John Dutton,48,10,27,0
Larry Evans,48,2,45,0
Joe Federspiel,48,7,30,0
Don Smith,48,6,36,0
Art Still,48,8,26,0
Willie Teal,48,5,39,0
Mike Bell,47,7,32,0
Robert Hardy,47,10,20,0
Maurice Harvey,47,1,45,0
LeRoy Irvin,47,1,38,0
Lyle Blackwood,46,2,38,0
Reuben Henderson,46,1,45,0
Leroy Jones,46,7,30,0
Jim LeClair,46,5,28,0
Shane Nelson,46,15,19,0
Archie Reese,46,8,25,0
Ed Smith,46,7,30,0
Stan White,46,2,41,0
Don Bessillieu,45,2,41,0
Robin Cole,45,4,35,0
Lee Kunz,45,7,37,0
Rob Nairne,45,6,35,0
Jeff Siemon,45,10,25,0
Fred Smerlas,45,9,21,0
Sherman White,45,11,25,0
Julius Adams,44,4,37,0
Dwaine Board,44,13,25,0
Barney Chavous,44,4,37,0
Hanford Dixon,44,6,33,0
Randy Holloway,44,6,31,0
Tony Peters,44,4,35,0
Sanders Shiver,44,15,22,0
J.C. Wilson,44,2,32,0
Jeff Yeates,44,4,32,0
Jesse Baker,43,13,24,0
Gary Campbell,43,4,34,0
Thom Darden,43,11,25,0
Keith Simpson,43,5,34,0
Jim Stuckey,43,5,23,0
Dan Bunz,42,7,27,0
Glenn Cameron,42,7,28,0
Rod Kush,42,6,32,0
Doug Martin,42,14,24,0
Harvey Martin,42,8,27,0
Casey Merrill,42,2,39,0
Herb Orvis,42,13,19,0
Bob Pollard,42,5,28,0
Elvin Bethea,41,12,16,0
Rubin Carter,41,6,33,0
Ken Kremer,41,5,29,0
Joe Lavender,41,3,35,0
Alan Page,41,4,35,0
Don Parrish,41,5,30,0
Dave Pureifory,41,6,35,0
Mike Fanning,40,5,31,0
Calvin Favron,40,5,29,0
Steve Foley,40,4,33,0
Carl Hairston,40,5,26,0
Lester Hayes,40,2,32,0
Too Tall Jones,40,3,27,0
Frank LeMaster,40,6,28,0
Mike McCoy,40,1,39,0
John Turner,40,4,32,0
Mike Washington,40,2,36,0
Frank Wattelet,40,3,37,0
Eric Williams,40,4,28,0
Reggie Williams,40,7,28,0
Perry Brooks,39,4,32,0
Cedric Brown,39,3,35,0
Joe Harris,39,5,29,0
Marshall Harris,39,9,16,0
Jerry Holmes,39,3,32,0
E.J. Junior,39,4,30,0
Don McNeal,39,4,35,0
Darrol Ray,39,13,19,0
Donnie Shell,39,3,33,0
Bill Thompson,39,1,37,0
Al Baker,38,11,25,0
Todd Bell,38,2,35,0
Bobby Butler,38,2,33,0
Brian Cabral,38,2,31,0
Cal Peterson,38,7,26,0
Lee Roy Selmon,38,1,37,0
Dave Brown,37,8,23,0
Vern Den Herder,37,2,33,0
Curtis Green,37,2,33,0
Gregg Johnson,37,6,27,0
Aaron Kyle,37,0,37,0
Johnnie Poe,37,4,30,0
Terry Schmidt,37,0,37,0
Greg Stemrick,37,7,26,0
Dwayne Woodruff,37,5,29,0
Autry Beamon,36,12,17,0
Dave Browning,36,2,29,0
Gary Dunn,36,4,30,0
Alvin Hall,36,2,32,0
Rulon Jones,36,3,27,0
John Zamberlin,36,1,31,0
Al Chesley,35,8,26,0
Fred Dean,35,3,25,0
Johnnie Gray,35,1,32,0
Bubba Green,35,9,18,0
Mark Lee,35,0,35,0
Jim Osborne,35,1,31,0
Craig Puki,35,8,19,0
Brad Van Pelt,35,2,29,0
Glen Edwards,34,3,26,0
Monte Jackson,34,2,32,0
Ross Browner,33,6,23,0
Mark Murphy,33,1,32,0
Keith Nord,33,3,25,0
Dennis Smith,33,0,33,0
Carl Allen,32,4,28,0
Ron Crosby,32,8,13,0
Mike Dawson,32,5,20,0
Anthony Dickerson,32,5,24,0
Andy Dorris,32,8,17,0
Elois Grooms,32,5,20,0
Dexter Manley,32,4,23,0
Carter Hartwig,31,8,17,0
James Hunter,31,0,30,0
Jim Laughlin,31,8,19,0
D.D. Lewis,31,12,12,0
Johnny Lynn,31,7,18,0
Tony McGee,31,5,24,0
Rod Perry,31,2,26,0
Rush Brown,30,8,22,0
Jeff Griffin,30,2,28,0
Mark Haynes,30,5,22,0
John Holt,30,0,29,0
Gary Jeter,30,3,23,0
Bobby Kemp,30,2,25,0
Don Latimer,30,0,29,0
Jerry Robinson,30,3,25,0
Phil Villapiano,30,4,21,0
John Banaszak,29,1,26,0
Benny Barnes,29,6,17,0
Derrick Hatchett,29,4,20,0
Roland James,29,4,24,0
Cody Jones,29,7,20,0
Dwayne O'Steen,29,1,26,0
J.T. Thomas,29,3,25,0
Jim Wilks,29,4,24,0
Charles Baker,28,1,23,0
Mel Blount,28,2,24,0
Tim Collier,28,1,26,0
Tom Howard,28,2,26,0
Bill Kollar,28,2,26,0
Avon Riley,28,10,9,0
Gerald Small,28,2,26,0
Mike Stensrud,28,10,16,0
Doug Sutherland,28,6,11,0
Pat Thomas,28,2,25,0
Tom Beasley,27,2,20,0
Larry Braziel,27,3,21,0
Pete Cronan,27,8,13,0
Estus Hood,27,0,27,0
Jesse Johnson,27,6,15,0
Cliff Thrift,27,4,17,0
Mike Williams,27,4,22,0
Reggie Doss,26,6,17,0
Donald Dykes,26,4,17,0
Hector Gray,26,2,24,0
Mike Hegman,26,6,16,0
Bryan Hicks,26,4,19,0
Mike Kozlowski,26,1,23,0
Ken Bordelon,25,4,19,0
Larry Brooks,25,4,16,0
Thomas Brown,25,5,9,0
Bill Currier,25,1,20,0
Curtis McGriff,25,8,14,0
Reggie Wilkes,25,3,19,0
Monte Bennett,24,5,13,0
Judson Flint,24,4,15,0
Ray Hamilton,24,2,21,0
Mike Hartenstine,24,0,21,0
Mike Humiston,24,5,18,0
Robert Jackson,24,7,8,0
Charlie Johnson,24,4,14,0
Dave Lewis,24,1,23,0
Randy Logan,24,3,15,0
Derland Moore,24,1,19,0
Bill Neill,24,7,16,0
Mike Ozdowski,24,8,11,0
Beasley Reece,24,2,19,0
Len Walterscheid,24,4,19,0
Roger Wehrli,24,1,22,0
Joel Williams,24,1,23,0
Walt Williams,24,5,19,0
Louis Breeden,23,4,18,0
Mike Davis,23,1,20,0
Allan Ellis,23,0,21,0
Ezra Johnson,23,3,19,0
Tim Kearney,23,3,18,0
Keith Lee,23,0,23,0
Ivory Sully,23,1,21,0
Rodell Thomas,23,5,12,0
Donnell Thompson,23,6,10,0
Lyman White,23,2,16,0
Steve Wilson,23,6,14,0
Hank Bauer,22,2,16,0
Roy Green,22,1,19,0
Byron Hunt,22,3,15,0
Bill Kay,22,2,18,0
Jeff Merrow,22,3,16,0
Steve Shull,22,3,17,0
Ted Thompson,22,3,14,0
Scot Brantley,21,0,21,0
Jim Laslavic,21,3,13,0
Perry Smith,21,0,20,0
Dave Stalls,21,0,20,0
Kurt Allerman,20,0,15,0
Kim Bokamper,20,2,18,0
Guy Brown,20,3,13,0
Phil Cancik,20,3,16,0
Brad Dusek,20,5,13,0
Eddie Edwards,20,1,16,0
Jeff Fisher,20,0,20,0
John Goodman,20,4,16,0
Bo Harris,20,4,12,0
Bruce Huther,20,5,9,0
Terry Jackson,20,1,17,0
Eddie Johnson,20,6,13,0
Dave Lindstrom,20,1,14,0
Mat Mendenhall,20,2,12,0
Guy Prather,20,0,20,0
Lucious Smith,20,3,16,0
Brenard Wilson,20,1,17,0
Dennis Winston,20,1,19,0
Mike Woods,20,0,17,0
Rufus Bess,19,0,18,0
Billy Cesare,19,0,19,0
Mike Harden,19,1,17,0
Mike Haynes,19,0,19,0
Henry Johnson,19,5,14,0
George Martin,19,4,14,0
Dana Nafziger,19,0,19,0
Daryle Skaugstad,19,6,7,0
Terry Tautolo,19,4,13,0
Loren Toews,19,0,17,0
Fulton Walker,19,0,18,0
Greg Bracelin,18,1,16,0
Herman Edwards,18,1,17,0
Wilson Faumuina,18,2,14,0
Dennis Harrison,18,3,15,0
Mel Kaufman,18,5,11,0
Rich Milot,18,6,11,0
Art Stringer,18,3,13,0
Curtis Weathers,18,2,15,0
Fred Anderson,17,4,11,0
Joe Greene,17,1,14,0
L.C. Greenwood,17,1,14,0
Bill Ring,17,1,14,0
Jim Ryan,17,0,17,0
Hosea Taylor,17,3,10,0
James Harrell,16,0,15,0
Ken Johnson,16,2,13,0
Dave Klug,16,3,11,0
Howie Long,16,2,13,0
Mike Nelms,16,3,12,0
Mel Owens,16,0,15,0
Lemar Parrish,16,1,15,0
Reggie Pinkney,16,2,11,0
Ray Preston,16,3,8,0
Ben Rudolph,16,8,6,0
Frank Warren,16,2,11,0
Al Washington,16,2,12,0
Kim Anderson,15,2,10,0
Richard Blackmore,15,1,14,0
Ken Clarke,15,1,13,0
Steve Furness,15,0,15,0
Bruce Herron,15,1,14,0
Bob Kohrs,15,0,14,0
Karl Lorch,15,1,12,0
Mike Spivey,15,1,13,0
Lynn Thomas,15,3,9,0
Wilson Whitley,15,2,9,0
Louis Wright,15,1,14,0
Roynell Young,15,1,14,0
Wilbur Young,15,4,11,0
Jeff Barnes,14,1,13,0
Luther Bradley,14,1,13,0
Jim Collins,14,1,13,0
Chuck Evans,14,1,13,0
Mike Fultz,14,2,7,0
Wyatt Henderson,14,0,13,0
Earl Jones,14,1,11,0
Saladin Martin,14,2,10,0
Milt McColl,14,2,11,0
Ken Riley,14,2,12,0
Robin Sendlein,14,1,12,0
Ted Watts,14,0,12,0
John Woodring,14,4,8,0
Jerry Boyarsky,13,0,11,0
Mark Buben,13,1,12,0
Clinton Burrell,13,3,8,0
Keith Ferguson,13,3,10,0
Blane Gaison,13,2,9,0
Claude Humphrey,13,1,10,0
Bobby Jackson,13,2,10,0
Lawrence Johnson,13,1,12,0
Angelo King,13,2,8,0
Brison Manor,13,0,13,0
Stafford Mays,13,4,8,0
Joe McLaughlin,13,1,11,0
Kenny Neil,13,6,6,0
Jimmy Rogers,13,2,11,0
Ray Strong,13,0,13,0
Kevin Turner,13,4,8,0
Jimmy Webb,13,5,7,0
Greg Brown,12,2,10,0
Tony Daykin,12,2,9,0
Paul Dombroski,12,0,12,0
Don Dufek,12,1,9,0
Ron Fellows,12,1,10,0
M.L. Harris,12,4,8,0
Mike Holston,12,6,5,0
Rod Horn,12,2,7,0
John Lee,12,0,12,0
Irvin Phillips,12,3,7,0
Bo Robinson,12,0,10,0
Mike Tice,12,4,8,0
Willie Tullis,12,4,7,0
Brad White,12,0,12,0
Mike Barnes,11,0,11,0
Ken Callicutt,11,0,10,0
Herb Christopher,11,0,10,0
John Corker,11,1,7,0
Dennis Johnson,11,2,8,0
Quentin Lowry,11,2,8,0
Jim Obradovich,11,0,11,0
Ervin Parker,11,1,8,0
Scott Pelluer,11,1,8,0
Jerry Sherk,11,2,4,0
Reggie Smith,11,0,11,0
Mosi Tatupu,11,1,10,0
Otis Wonsley,11,0,11,0
Deron Cherry,10,1,7,0
Paul Davis,10,1,8,0
Tom Dinkel,10,2,6,0
Frank Duncan,10,0,7,0
Ray Ellis,10,0,9,0
Greg Gaines,10,3,4,0
Steve King,10,1,8,0
Eric Lane,10,1,6,0
Frank Manumaleuga,10,4,6,0
Jeff Nixon,10,1,9,0
James Owens,10,0,10,0
Rick Razzano,10,3,7,0
Scott Woerner,10,2,8,0
Ed Beckman,9,1,6,0
Don Blackmon,9,1,7,0
Curtis Bledsoe,9,0,9,0
Greg Boyd,9,1,8,0
Rickey Claitt,9,1,7,0
Phil Murphy,9,1,7,0
Ken Poole,9,1,7,0
John Simmons,9,0,6,0
Ed Simonini,9,2,2,0
Rich Thomaselli,9,3,3,0
Anthony Washington,9,2,7,0
Sammy White,9,1,7,0
Coy Bacon,8,0,7,0
Larry Canada,8,1,7,0
Tony Davis,8,0,8,0
Cedrick Hardman,8,1,7,0
Dallas Hickman,8,0,8,0
Ron Johnson,8,0,8,0
Pete Kugler,8,1,6,0
Rob Lytle,8,1,7,0
