Team,INT,INT TD,INT Yds,Lng
Oilers,26,3,412,69
Vikings,24,2,211,63
Steelers,24,1,386,78T
Bills,23,3,306,85
Chargers,22,1,319,102T
Seahawks,22,1,196,34T
Chiefs,21,0,225,48
Eagles,20,4,324,94T
Lions,19,1,156,35T
Jets,19,1,233,62T
49ers,19,3,267,67
Bears,18,2,300,80
Broncos,18,1,236,68T
Packers,18,0,255,39
Giants,18,1,184,50T
Redskins,17,2,241,69
Cowboys,14,1,171,32T
Raiders,14,1,199,36T
Falcons,13,0,160,41
Browns,13,1,208,97T
Dolphins,13,1,175,56T
Patriots,13,0,122,40
Bengals,12,2,272,97T
Rams,11,0,127,41
Colts,10,0,116,29
Saints,10,0,133,37
Cardinals,9,1,124,46T
Buccaneers,9,2,71,28T
