Team,FR TD,SFTY,INT TD
Oilers,3,1,3
Bears,2,0,2
Lions,2,0,1
Colts,2,0,0
Chiefs,2,0,0
Saints,2,1,0
Cardinals,2,2,1
Steelers,2,0,1
Seahawks,2,4,1
Redskins,2,1,2
Falcons,1,0,0
Bills,1,1,3
Browns,1,2,1
Packers,1,1,0
Rams,1,0,0
Eagles,1,2,4
49ers,1,0,3
Bengals,0,3,2
Cowboys,0,0,1
Broncos,0,1,1
Raiders,0,0,1
Dolphins,0,0,1
Vikings,0,2,2
Patriots,0,0,0
Giants,0,1,1
Jets,0,1,1
Chargers,0,0,1
Buccaneers,0,0,2
