Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,47.4,1044,22,50.1,70,1103,13,3,2,1,9,7,39,0,0
Seahawks,45.4,863,19,50.2,73,953,8,2,4,3,1,9,30,0,0
Giants,45.3,1495,33,48.9,64,1613,11,1,3,1,14,14,98,0,0
Jaguars,45,1304,29,48.1,62,1394,18,5,3,2,10,9,50,0,0
Cowboys,44.7,850,19,51.5,57,978,6,0,2,1,5,11,108,0,0
Jets,44.4,1287,29,47.9,58,1389,12,3,2,2,12,10,62,0,0
Chiefs,44.2,929,21,48.3,62,1014,8,1,5,1,7,7,65,0,0
49ers,44.2,973,22,48.5,67,1067,12,2,4,1,5,10,74,0,0
Panthers,44.2,1193,27,47.5,69,1283,10,1,5,1,10,10,70,0,0
Buccaneers,43.7,1181,27,52.8,74,1427,13,4,3,3,4,13,186,0,0
Vikings,43.4,954,22,50.9,63,1120,3,3,2,4,3,10,86,0,0
Browns,43.2,1382,32,49.1,69,1571,11,7,2,2,7,14,149,0,0
Falcons,42.5,1275,30,47.4,62,1422,10,6,2,1,10,11,127,0,0
Commanders,42.3,1481,35,47.8,66,1673,12,0,5,1,10,19,172,0,0
Lions,42.2,1097,26,45.4,62,1181,13,1,5,1,10,9,64,0,0
Dolphins,41.8,710,17,45.1,60,766,3,4,1,1,6,5,36,0,0
Rams,41.5,997,24,49.6,72,1191,9,3,0,2,6,13,154,0,0
Titans,41.2,948,23,51.6,74,1186,9,5,0,3,2,13,178,0,0
Broncos,40.8,1060,26,44.2,61,1148,7,2,3,0,8,13,88,0,0
Colts,40.7,1221,30,46.6,57,1399,9,3,6,0,4,17,178,0,0
Steelers,40.5,1418,35,46,63,1610,13,5,5,4,9,12,112,0,0
Bills,39.9,678,17,46.9,70,798,6,2,1,1,5,8,100,1,0
Patriots,39.9,1395,35,44.7,65,1566,18,7,1,1,11,15,151,0,0
Saints,39.9,1395,35,43.1,62,1508,13,5,4,2,9,15,73,0,0
Ravens,39.8,1193,30,48,67,1441,13,3,3,1,9,14,228,1,1
Bengals,39.5,1263,32,44.2,62,1416,6,4,1,2,12,13,113,0,0
Texans,39.3,982,25,42.4,63,1061,7,4,4,3,10,4,19,0,0
Chargers,39.2,1018,26,42.9,65,1115,10,2,5,1,12,6,77,0,0
Eagles,38.9,623,16,43.3,57,693,6,0,3,0,6,7,70,0,0
Cardinals,38.9,972,25,47.4,62,1185,4,1,2,1,3,18,193,0,0
Packers,38.5,963,25,48,68,1199,6,0,1,4,10,10,156,1,0
Bears,37.7,981,26,45.8,58,1190,6,3,5,1,3,14,189,0,0
