Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Texans,17,18,94.4,0_0,6_6,9_9,2_2,1_0,0_0,43,0
Rams,17,23,73.9,0_0,3_3,4_4,9_7,7_3,0_0,54,1
Eagles,17,19,89.5,0_0,5_5,6_5,3_3,4_3,1_1,61,0
Browns,16,18,88.9,0_0,1_1,1_1,9_7,7_7,0_0,58,0
Cowboys,16,16,100,0_0,7_7,6_6,1_1,2_2,0_0,55,0
Titans,16,16,100,0_0,5_5,5_5,3_3,3_3,0_0,53,0
Saints,16,20,80,0_0,6_5,4_4,5_4,5_3,0_0,54,0
Chiefs,15,15,100,0_0,2_2,9_9,2_2,1_1,1_1,60,0
Jets,15,16,93.8,0_0,4_4,6_6,4_4,2_1,0_0,52,0
Falcons,13,14,92.9,0_0,4_4,4_4,5_4,1_1,0_0,51,0
Jaguars,13,15,86.7,0_0,1_1,3_3,8_7,3_2,0_0,56,1
Cardinals,13,15,86.7,0_0,2_2,6_5,3_3,3_2,1_1,62,0
Seahawks,13,17,76.5,0_0,3_3,7_6,4_3,3_1,0_0,55,0
Ravens,12,14,85.7,0_0,5_5,3_3,3_3,2_1,1_0,50,0
Broncos,12,13,92.3,0_0,5_5,5_5,0_0,3_2,0_0,52,0
Colts,12,14,85.7,0_0,3_3,2_2,3_2,5_5,1_0,56,1
Bears,11,11,100,0_0,4_4,2_2,2_2,3_3,0_0,54,0
Raiders,11,14,78.6,0_0,7_7,2_2,3_2,2_0,0_0,47,1
Steelers,11,11,100,0_0,2_2,1_1,4_4,4_4,0_0,57,0
49ers,11,14,78.6,0_0,5_5,2_2,4_2,3_2,0_0,57,0
Buccaneers,11,12,91.7,0_0,4_4,5_5,1_0,2_2,0_0,57,1
Bills,10,13,76.9,0_0,1_1,5_5,2_1,5_3,0_0,54,0
Bengals,10,12,83.3,0_0,2_2,0_0,5_5,5_3,0_0,54,0
Giants,10,14,71.4,0_0,2_2,3_2,5_3,4_3,0_0,57,1
Panthers,9,11,81.8,0_0,1_1,2_2,4_3,4_3,0_0,56,0
Vikings,9,11,81.8,0_0,5_5,0_0,1_1,5_3,0_0,54,0
Commanders,9,13,69.2,0_0,2_1,4_4,4_2,3_2,0_0,51,1
Packers,8,9,88.9,0_0,2_2,4_4,1_0,2_2,0_0,52,0
Patriots,8,12,66.7,0_0,2_2,1_1,6_4,3_1,0_0,51,0
Chargers,8,9,88.9,0_0,3_3,3_3,0_0,3_2,0_0,55,0
Lions,7,8,87.5,0_0,1_1,6_6,0_0,1_0,0_0,38,0
Dolphins,6,8,75,0_0,2_2,0_0,5_4,1_0,0_0,45,1
