Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Broncos,35.2,5,176,1,4,1,99T,0,0
Texans,31.5,6,189,1,3,1,85T,0,0
Raiders,28.6,5,143,0,5,1,40,1,0
Panthers,27.8,6,167,0,6,0,37,0,1
Jaguars,25.8,6,155,0,4,1,53,0,0
Packers,25,10,250,0,10,0,30,0,0
Seahawks,24.7,10,247,0,9,0,34,0,0
Dolphins,24.6,9,221,0,9,0,33,0,0
Commanders,24.3,6,146,0,4,0,38,0,0
Bengals,24.2,4,97,0,3,0,27,0,0
49ers,24.2,4,97,0,2,0,34,0,0
Jets,23.8,6,143,0,5,0,30,0,0
Bills,23.7,6,142,0,4,1,41,2,0
Patriots,23,6,138,0,3,1,43,1,0
Browns,22.8,5,114,0,4,0,26,0,0
Bears,22.3,10,223,0,6,0,37,0,0
Vikings,22.2,5,111,0,3,0,33,1,0
Steelers,21.8,10,218,0,7,0,34,0,0
Lions,21.5,6,129,0,3,0,28,1,0
Buccaneers,21.3,6,128,0,3,0,32,0,0
Eagles,20.6,5,103,0,2,0,38,0,0
Ravens,20.5,6,123,0,3,0,28,1,0
Saints,20.4,13,265,0,6,0,27,1,1
Chargers,19.5,2,39,0,1,0,24,0,0
Colts,19,4,76,0,1,0,21,5,0
Falcons,17.7,6,106,0,1,0,25,0,0
Cardinals,17.6,5,88,0,1,0,28,0,0
Chiefs,17,2,34,0,1,0,20,0,0
Titans,16.3,3,49,0,1,0,21,3,0
Giants,15.8,5,79,0,2,0,21,1,0
Cowboys,14.8,6,89,0,2,0,22,0,0
Rams,14,4,56,0,1,0,20,4,0
