Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Texans,17,94.4,12,100,1,0
Rams,17,73.9,12,92.3,0,0
Eagles,17,89.5,17,94.4,0,0
Browns,16,88.9,8,100,0,0
Cowboys,16,100,12,92.3,0,0
Titans,16,100,8,100,0,0
Saints,16,80,11,100,0,1
Chiefs,15,100,19,100,0,0
Jets,15,93.8,6,100,0,1
Falcons,13,92.9,8,88.9,0,0
Jaguars,13,86.7,18,100,0,0
Cardinals,13,86.7,8,88.9,0,0
Seahawks,13,76.5,13,100,0,0
Ravens,12,85.7,17,94.4,0,0
Broncos,12,92.3,12,92.3,1,0
Colts,12,85.7,18,100,0,0
Bears,11,100,15,93.8,0,0
Raiders,11,78.6,9,100,0,0
Steelers,11,100,8,100,0,0
49ers,11,78.6,24,100,0,0
Buccaneers,11,91.7,8,100,0,0
Bills,10,76.9,22,100,0,0
Bengals,10,83.3,10,100,0,1
Giants,10,71.4,7,100,0,0
Panthers,9,81.8,11,100,0,0
Vikings,9,81.8,16,88.9,0,0
Commanders,9,69.2,13,100,0,0
Packers,8,88.9,12,100,0,0
Patriots,8,66.7,9,100,0,0
Chargers,8,88.9,16,100,0,0
Lions,7,87.5,21,100,0,0
Dolphins,6,75,30,96.8,0,0
