Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Dolphins,43,2804,35,81.4,8,32.5,0,0,0,1
Bills,41,2573,28,68.3,12,19.9,1,0,1,0
49ers,41,2595,24,58.5,14,20.8,0,0,2,0
Colts,40,2563,29,72.5,8,23.5,0,0,0,0
Chiefs,39,2551,38,97.4,1,22,0,0,0,0
Eagles,39,2522,32,82,7,28,0,0,0,0
Ravens,38,2424,33,86.8,4,21,0,0,0,0
Jaguars,38,2441,31,81.6,4,33,0,0,0,1
Rams,37,2331,33,89.2,3,21.7,1,0,0,0
Bears,36,2297,30,83.3,5,21.2,1,0,0,0
Cowboys,36,2344,35,97.2,1,28,0,0,0,0
Lions,36,2265,19,52.8,16,21.2,1,0,0,0
Broncos,35,2178,32,91.4,1,20,2,0,0,0
Saints,35,2286,31,88.6,4,21,0,0,0,0
Vikings,34,2163,26,76.5,7,27.3,1,0,0,0
Browns,33,2105,21,63.6,10,19.3,0,0,0,0
Seahawks,33,2107,24,72.7,6,19.8,0,0,1,0
Texans,32,2068,20,62.5,10,21.3,0,0,0,0
Cardinals,32,2086,28,87.5,3,21,0,0,0,0
Jets,30,1935,27,90,2,5.5,0,0,0,0
Chargers,30,1952,28,93.3,2,30.5,0,0,0,0
Falcons,29,1885,23,79.3,5,23.6,0,0,0,0
Titans,29,1809,16,55.2,11,22.3,1,0,0,0
Raiders,29,1862,21,72.4,8,22.9,0,0,0,0
Commanders,29,1885,29,100,0,0,0,0,0,0
Packers,28,1768,18,64.3,9,21.3,1,0,0,0
Patriots,27,1673,19,70.4,7,20.3,1,0,0,0
Steelers,27,1745,25,92.6,2,23.5,0,0,0,0
Buccaneers,27,1719,18,66.7,8,20.5,0,0,0,0
Panthers,26,1461,15,57.7,7,25.6,4,0,0,0
Bengals,25,1601,21,84,3,17.7,0,0,0,0
Giants,25,1623,21,84,4,28,0,0,0,0
