Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,18.5,6,111,0,2,1,45,5,1
Saints,18.3,9,165,1,2,1,76T,15,0
Bengals,15.8,14,221,1,3,1,81T,3,1
Ravens,15.2,13,198,0,3,1,70,12,0
Eagles,13.9,14,195,0,4,1,52,6,1
Jets,13.7,10,137,1,1,1,65T,7,2
Seahawks,13.6,12,163,0,3,0,32,6,1
Chargers,12.2,10,122,0,2,0,26,4,1
Lions,10.6,13,138,0,1,0,24,10,0
Colts,10.5,13,137,0,2,0,32,10,1
Commanders,10.5,14,147,0,2,1,61,6,1
49ers,10.1,15,152,0,0,0,19,6,0
Packers,10.1,11,111,0,2,0,35,5,1
Dolphins,9.1,8,73,0,0,0,18,12,0
Raiders,9.1,9,82,0,0,0,18,3,1
Jaguars,9.1,11,100,0,1,1,48,9,1
Chiefs,9,15,135,0,2,1,50,8,3
Bears,8.8,6,53,0,0,0,12,8,0
Titans,8.6,14,121,0,1,0,21,4,1
Texans,8.6,9,77,0,0,0,14,9,1
Patriots,7.9,14,110,0,2,0,25,9,2
Cardinals,7.4,12,89,0,0,0,19,5,0
Browns,7.2,16,116,0,0,0,13,9,1
Bills,7.1,7,50,0,1,0,23,12,1
Cowboys,6.9,8,55,0,0,0,15,11,1
Rams,6.6,10,66,0,1,0,29,9,1
Panthers,6.5,13,85,0,0,0,15,4,0
Vikings,6.1,14,85,0,1,0,20,5,1
Buccaneers,5.8,8,46,0,0,0,16,7,1
Falcons,5.4,12,65,0,0,0,16,10,0
Steelers,5.2,10,52,0,0,0,14,4,1
Giants,3.8,10,38,0,0,0,14,9,3
