Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Terrell Davis,2008,392,21,15,6,70,100,25.5,1
Jamal Anderson,1846,410,14,17,2,48,90,22,5
Garrison Hearst,1570,310,7,9,3,96,70,22.6,4
Barry Sanders,1491,343,4,13,4,73,63,18.4,3
Emmitt Smith,1332,319,13,8,0,32,89,27.9,2
Marshall Faulk,1319,324,6,5,3,68,62,19.1,3
Eddie George,1294,348,5,5,0,37,72,20.7,7
Curtis Martin,1287,369,8,2,1,60,69,18.7,5
Ricky Watters,1239,319,9,5,0,39,73,22.9,4
Fred Taylor,1223,264,14,9,4,77,58,22,3
Robert Smith,1187,249,6,9,4,74,46,18.5,1
Jerome Bettis,1185,316,3,3,1,42,58,18.4,2
Corey Dillon,1130,262,4,4,2,66,56,21.4,2
Antowain Smith,1124,300,8,6,0,30,60,20,5
Robert Edwards,1115,291,9,6,3,53,49,16.8,5
Duce Staley,1065,258,5,6,2,64,53,20.5,1
Gary Brown,1063,247,5,3,1,45,53,21.5,1
Adrian Murrell,1042,274,8,8,0,32,43,15.7,6
Warrick Dunn,1026,245,2,5,2,50,42,17.1,1
Priest Holmes,1008,233,7,5,2,56,54,23.2,3
Abdul-Karim al-Jabbar,960,270,6,9,2,45,43,15.9,2
Napoleon Kaufman,921,217,2,7,2,80,37,17,1
Natrone Means,883,212,5,6,1,72,42,19.8,1
Mike Alstott,846,215,8,4,0,37,49,22.8,4
Fred Lane,717,205,5,6,0,31,31,15.1,4
Terry Allen,700,148,2,5,1,45,27,18.2,3
Edgar Bennett,611,173,2,1,1,43,28,16.2,1
Steve McNair,559,77,4,4,2,71,38,49.4,0
Terrell Fletcher,543,153,5,2,0,21,34,22.2,1
Donnell Bennett,527,148,5,3,0,26,30,20.3,3
John Avery,503,143,2,2,1,44,22,15.4,4
Curtis Enis,497,133,0,1,0,29,22,16.5,1
Harvey Williams,496,128,2,4,0,25,28,21.9,2
Bam Morris,489,132,8,2,0,38,29,22,3
Leroy Hoard,479,115,9,4,1,50,29,25.2,1
Lamar Smith,457,138,1,5,0,33,19,13.8,3
Steve Young,454,70,6,3,0,24,35,50,2
Skip Hicks,433,122,8,5,0,28,26,21.3,0
Charles Way,432,113,3,2,0,21,29,25.7,0
Tim Biakabutuka,427,101,3,2,1,41,20,19.8,1
Kordell Stewart,406,81,2,3,1,56,28,34.6,1
Darick Holmes,394,95,1,0,0,13,21,22.1,1
Charlie Garner,381,96,4,2,1,40,18,18.8,1
Thurman Thomas,381,93,2,0,0,17,15,16.1,0
Dorsey Levens,378,115,1,1,1,50,20,17.4,0
Travis Jervey,325,83,1,0,0,16,18,21.7,0
June Henley,313,88,3,2,0,22,17,19.3,1
Chris Warren,291,59,4,2,1,49,14,23.7,0
James Allen,270,58,1,2,2,57,7,12.1,1
Terry Kirby,258,48,3,2,0,31,13,27.1,0
Doug Flutie,248,48,1,2,0,23,16,33.3,3
Brandon Bennett,243,77,2,0,0,17,15,19.5,1
Richard Huntley,242,55,1,1,1,48,9,16.4,4
Greg Hill,240,40,4,2,2,46,12,30,0
Sedrick Shaw,236,48,0,2,2,71,5,10.4,2
Kimble Anders,230,58,1,1,0,20,15,25.9,2
Robert Holcombe,230,98,2,0,0,12,14,14.3,0
Charlie Batch,229,41,1,0,0,17,13,31.7,0
Raymont Harris,228,79,1,0,0,14,9,11.4,3
Sherman Williams,220,64,1,2,0,24,11,17.2,0
Jake Plummer,217,51,4,2,0,27,24,47.1,1
James Stewart,217,53,2,1,0,30,13,24.5,2
Ahman Green,209,35,1,2,1,64,8,22.9,1
Brian Mitchell,208,39,2,1,0,22,11,28.2,0
Jonathan Linton,195,45,1,1,0,20,11,24.4,0
Mark Brunell,192,49,0,0,0,18,15,30.6,2
Leon Johnson,185,41,2,1,1,40,8,19.5,1
Aaron Craver,180,45,2,1,0,25,10,22.2,1
Errict Rhett,180,44,0,1,1,46,5,11.4,0
Amp Lee,175,44,2,1,0,38,8,18.2,1
Jim Harbaugh,172,40,0,0,0,15,11,27.5,2
Rich Gannon,168,44,3,2,0,21,13,29.6,3
Tiki Barber,166,52,0,1,0,23,8,15.4,1
Mario Bates,165,60,6,0,0,15,16,26.7,0
Jerald Sowell,164,40,0,2,0,33,6,15,1
Ray Zellars,162,56,1,0,0,15,7,12.5,2
Derek Loville,161,53,2,0,0,12,11,20.8,0
Randy Jordan,159,47,1,1,0,23,11,23.4,1
Tony Banks,156,40,3,0,0,19,11,27.5,7
Kerry Collins,153,30,1,1,0,20,6,20,3
Troy Davis,143,55,1,0,0,14,6,10.9,1
Trent Dilfer,141,40,2,0,0,17,14,35,1
Tavian Banks,140,26,1,1,1,51,5,19.2,1
Kent Graham,138,27,2,1,0,23,9,33.3,1
Jerald Moore,137,55,2,0,0,18,10,18.2,3
Anthony Johnson,135,36,0,1,0,21,6,16.7,2
Brett Favre,133,40,1,1,0,35,13,32.5,1
Randall Cunningham,132,32,1,1,0,22,11,34.4,2
Rob Johnson,123,24,1,1,0,32,7,29.2,2
Robert Chancey,122,29,2,0,0,14,10,34.5,1
Wilmont Perry,122,30,0,0,0,19,9,30,1
Tremayne Stephens,122,35,1,0,0,12,4,11.4,1
Chris Chandler,121,36,2,0,0,19,12,33.3,0
George Jones,121,39,0,1,0,21,6,15.4,0
Donald Hollas,120,29,1,0,0,14,7,24.1,3
Trent Green,117,42,2,0,0,13,8,19,1
Roosevelt Potts,115,36,0,1,0,33,8,22.2,3
Chuck Levy,112,25,1,1,0,21,3,12,0
Fred McAfee,111,18,0,0,0,14,5,27.8,0
Larry Centers,110,31,0,0,0,14,10,32.3,0
Stephen Davis,109,34,0,0,0,12,6,17.6,0
Jay Graham,109,35,0,0,0,12,5,14.3,0
Vinny Testaverde,104,24,1,1,0,25,8,33.3,2
Jeff Blake,103,15,0,0,0,18,6,40,0
