Player,Comb,Asst,Solo,Sck
Derrick Brooks,156,35,121,0
Chad Brown,150,30,120,7.5
Greg Biekert,148,32,116,3
Marvcus Patton,143,27,116,3
Zach Thomas,133,51,82,2
Micheal Barrow,128,32,96,4
Ed McDaniel,125,35,90,7
Donnie Edwards,122,44,78,6
Lawyer Milloy,120,41,79,1
Ray Lewis,118,19,99,3
John Mobley,117,19,98,1
Rodney Harrison,115,26,89,4
Junior Seau,114,23,91,3.5
Takeo Spikes,114,17,97,2
Levon Kirkland,113,38,75,2.5
Ken Norton,113,22,91,2
Marty Carter,111,23,88,0
Jamir Miller,111,30,81,3
Stephen Boyd,110,37,73,4
Kevin Hardy,110,24,86,1.5
Jay Bellamy,107,21,86,1
Mark Fields,107,26,81,6
Bernardo Harris,105,37,68,2
Brian Williams,105,31,74,2
Joe Bowden,104,31,73,1.5
Derek M. Smith,104,25,79,0.5
Jeff Brady,103,28,75,4
Brent Alexander,102,30,72,0
Billy Jenkins,102,17,85,3
Barry Minter,102,23,79,1
Reggie Tongue,100,20,80,2
Jessie Armstead,99,26,73,5
Willie Clay,99,33,66,0
Darryl Williams,98,28,70,0
Lee Flowers,97,22,75,1
Brock Marion,97,27,70,0
Chad Cota,96,25,71,2
James Willis,96,24,72,0
Jason Belser,95,19,76,1
Ted Johnson,95,30,65,2
Ronald McKinnon,95,29,66,2
Ron Rice,95,35,60,3.5
Dwayne Rudd,93,14,79,2
Dewayne Washington,93,14,79,0
Cornelius Bennett,92,23,69,1
Victor Green,92,24,68,1
Conrad Hamilton,91,11,80,1
Randall Godfrey,90,16,74,3
Eddie Robinson,90,19,71,3.5
Robert Griffith,88,15,73,0
Richard Harvey,88,18,70,4
Pat Tillman,88,28,60,1
Rod Woodson,88,12,76,0
Mike A. Jones,87,18,69,3
LeRoy Butler,86,25,61,4
Rob Fredrickson,86,30,56,2.5
Sean Harris,86,13,73,1
Corey Widmer,86,27,59,0
Tommy Bennett,85,27,58,0
Blaine Bishop,85,22,63,3
Keith Lyle,85,22,63,1
John Lynch,85,35,50,2
William Thomas,85,24,61,2
Jessie Tuggle,85,20,65,3
Sam Shade,84,19,65,1
Winfred Tubbs,84,26,58,1
Darren Woodson,84,13,71,3
Mike Zordich,84,29,55,0
Robert Jones,83,27,56,5
Denard Walker,83,15,68,0
Mo Lewis,82,14,68,7
Tony Parrish,82,15,67,1
Ronde Barber,81,12,69,3
Dexter Coakley,81,18,63,2
Brian Simmons,81,16,65,3
Darrin Smith,81,21,60,5
Fred Strickland,81,30,51,0
Jerome Woods,81,25,56,0
Corey Fuller,80,9,71,1
John Holecek,80,21,59,0
Earl Holmes,80,24,56,1.5
Chad Bratzke,79,23,56,11
Tyronne Drakeford,79,11,68,0
Glenn Cadrez,78,18,60,4
Sam Cowart,78,18,60,0
Chad Eaton,78,30,48,6
Tim McDonald,78,10,68,4
Greg Myers,78,17,61,0
Tedy Bruschi,77,27,50,2
Anthony Davis,77,17,60,4.5
Leomont Evans,77,13,64,1
Stevon Moore,77,20,57,0
Donovin Darius,76,16,60,0
Charles Mincy,76,22,54,0
Shawn Springs,76,15,61,0
Sammy Knight,75,13,62,0
Tito Wooten,74,14,60,3
Keith Mitchell,73,27,46,2.5
Darren Sharper,73,20,53,0
Bryant Westbrook,73,14,59,0
Allen Aldridge,72,22,50,3
Eric Hill,72,14,58,1
Michael McCrary,72,6,66,14.5
Roman Phifer,72,13,59,6.5
Mark Smith,72,20,52,9
Eric Davis,71,7,64,1
Artrell Hawkins,71,5,66,1
Joe Johnson,71,16,55,7
Todd Lyght,71,13,58,1.5
Phillippi Sparks,71,7,64,0
Willie Williams,71,14,57,0
Michael Bankston,70,21,49,4.5
Robert Blackmon,70,16,54,1
Chris Bordano,70,16,54,1
Tim Hauck,70,12,58,0
Henry Jones,70,14,56,0
Ty Law,70,10,60,0
Bill Romanowski,70,15,55,7.5
Chris Slade,70,27,43,4
Otis Smith,70,13,57,0
Aeneas Williams,70,13,57,1
Tyrone Williams,70,9,61,0
Bryan Cox,69,22,47,6
Percy Ellsworth,69,19,50,0
Kwamie Lassiter,69,19,50,0
Hardy Nickerson,69,25,44,1
Orlando Thomas,69,9,60,0.5
Jeff Burris,68,11,57,0
Phil Hansen,68,21,47,7.5
Walt Harris,68,5,63,0
Carnell Lake,68,5,63,1
Bryce Paup,68,13,55,6.5
Aaron Beasley,67,9,58,0
Jimmy Hitchcock,67,9,58,0
Darryll Lewis,67,10,57,1
Darren Perry,67,14,53,0.5
Michael Strahan,67,14,53,15
William White,67,11,56,0
La'Roi Glover,66,8,58,10
Tyrone Poole,66,10,56,0
Eugene Robinson,66,20,46,0
Ray Agnew,65,15,50,5
Cris Dishman,65,6,59,0
Dwayne Gordon,65,18,47,0
Darrell Green,65,1,64,0
Steve Morrison,65,18,47,1
Stanley Richard,65,16,49,0
Elijah Alexander,64,15,49,0
Mike Barber,64,20,44,2
Terry Cousin,64,13,51,0
Reinard Wilson,64,17,47,6
Charles Dimry,63,4,59,0
Jason Ferguson,63,21,42,4
Darrien Gordon,63,6,57,0
James Hasty,63,10,53,1
Greg Lloyd,63,16,47,1
Mark McMillian,63,3,60,0
Darrell Russell,63,8,55,10
Henry Thomas,63,22,41,6.5
Corey Harris,62,13,49,1
Pepper Johnson,62,21,41,1
Charles Woodson,62,3,59,0
Peter Boulware,61,23,38,8.5
Greg Jackson,61,9,52,0
Robert Porcher,61,20,41,11.5
Mike Wells,61,16,45,3
Ray Buchanan,60,7,53,0
Kevin Carter,60,11,49,12
Carlos Emmons,60,16,44,3.5
Alex Molden,60,8,52,0
Marlo Perry,60,15,45,0
Travis Davis,59,12,47,0.5
Jeff Gooch,59,19,40,1
Dave Thomas,59,6,53,0
Lee Woodall,59,13,46,0
Todd F. Collins,58,20,38,0
Terry Fair,58,18,40,1
George Koonce,58,16,42,1
Lonnie Marts,58,19,39,4
Sam Rogers,58,19,39,4.5
Bryan Schwartz,58,14,44,0
Brian Dawkins,57,12,45,1
Steve Jackson,57,9,48,1.5
