Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,286,1227,4.3,4,66,23.1
Browns,281,1165,4.2,12,55,19.6
Falcons,304,1232,4,4,61,20.1
Eagles,230,938,4.1,5,56,24.4
Bears,275,948,3.4,6,58,21.1
49ers,225,902,4,5,64,28.4
Bills,300,1400,4.7,8,65,21.7
Lions,260,1004,3.9,8,56,21.5
Giants,340,1633,4.8,18,93,27.4
Jaguars,243,961,4,7,58,23.9
Colts,337,1422,4.2,15,86,25.5
Cowboys,291,1200,4.1,8,64,22
Saints,305,1364,4.5,7,71,23.3
Cardinals,377,1681,4.5,16,101,26.8
Rams,298,1246,4.2,11,72,24.2
Dolphins,271,1021,3.8,9,72,26.6
Texans,294,1046,3.6,13,73,24.8
Steelers,301,1302,4.3,6,64,21.3
Broncos,316,1707,5.4,11,84,26.6
Raiders,347,1524,4.4,12,88,25.4
Vikings,309,1152,3.7,7,73,23.6
Chiefs,272,1247,4.6,7,66,24.3
Chargers,287,1217,4.2,13,69,24
Patriots,306,1035,3.4,9,60,19.6
Panthers,326,1374,4.2,18,84,25.8
Buccaneers,268,1055,3.9,7,66,24.6
Titans,323,1219,3.8,8,68,21
Packers,341,1487,4.4,10,85,24.9
Commanders,305,1357,4.4,7,71,23.3
Seahawks,305,1295,4.2,14,78,25.6
Jets,365,1543,4.2,7,80,21.9
Bengals,307,1536,5,12,88,28.7
