Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Commanders,423,269,63.6,7.5,3175,28,6,149,35.2,35
Vikings,426,298,70,6.3,2692,15,9,140,32.9,32
Bills,389,261,67.1,6.3,2439,16,11,136,35,41
Saints,358,211,58.9,6,2159,14,14,108,30.2,18
Chiefs,346,213,61.6,5.6,1943,13,6,107,30.9,37
Panthers,322,211,65.5,6.1,1976,13,5,112,34.8,18
Bengals,361,230,63.7,7.6,2746,13,12,133,36.8,28
Lions,376,237,63,6.7,2503,19,8,133,35.4,23
Chargers,421,283,67.2,7.3,3080,17,6,152,36.1,36
Cardinals,372,261,70.2,7,2621,21,9,146,39.2,32
Texans,383,264,68.9,7.2,2778,11,8,125,32.6,24
Browns,286,159,55.6,5.5,1562,10,9,71,24.8,34
Cowboys,325,195,60,5.7,1839,14,12,96,29.5,37
Raiders,394,271,68.8,6.6,2601,15,10,135,34.3,28
Patriots,377,250,66.3,6.5,2450,13,6,127,33.7,24
Buccaneers,405,270,66.7,7.3,2946,16,9,146,36,31
Colts,378,244,64.6,6.5,2461,12,12,117,31,36
Rams,374,231,61.8,6.4,2397,11,5,123,32.9,25
Dolphins,378,258,68.2,6.2,2336,16,9,118,31.2,38
Jaguars,415,269,64.8,6.8,2805,18,11,129,31.1,24
Jets,347,220,63.4,5.8,2015,13,12,109,31.4,28
Packers,357,230,64.4,6.3,2256,12,5,118,33,26
Seahawks,405,266,65.7,6.3,2538,14,8,130,32.1,32
Bears,434,297,68.4,6.6,2874,23,13,147,33.9,17
Eagles,456,294,64.5,6.2,2813,23,6,154,33.8,32
Giants,406,255,62.8,6.8,2739,14,12,129,31.8,21
Steelers,391,232,59.3,6.6,2596,13,12,125,32,32
Falcons,361,227,62.9,6.4,2300,17,6,120,33.2,22
Ravens,446,270,60.5,4.6,2060,10,11,117,26.2,47
Broncos,365,250,68.5,7,2563,19,10,129,35.3,23
Titans,349,237,67.9,7.1,2470,12,3,120,34.4,29
49ers,416,277,66.6,5.6,2346,11,15,118,28.4,33
