Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Giants,154,54,14,7,93,27.4,767
Browns,140,38,7,4,55,19.6,601
Bears,152,70,15,8,58,21.1,726
Saints,146,52,11,5,71,23.3,681
Panthers,137,48,8,6,84,25.8,666
Vikings,170,71,17,11,73,23.6,767
Commanders,162,64,15,9,71,23.3,763
Bills,156,60,16,9,65,21.7,730
Colts,159,61,17,11,86,25.5,751
Chargers,142,50,27,16,69,24,744
Cardinals,151,71,13,6,101,26.8,781
Steelers,153,58,13,6,64,21.3,724
Ravens,177,64,22,8,66,23.1,779
Lions,127,46,17,10,56,21.5,659
Cowboys,143,49,24,13,64,22,653
Buccaneers,146,65,14,7,66,24.6,704
Texans,147,62,13,5,73,24.8,701
Packers,158,63,22,11,85,24.9,724
Falcons,142,50,10,5,61,20.1,687
Eagles,154,70,25,12,56,24.4,718
Rams,149,59,16,11,72,24.2,697
Raiders,154,65,15,7,88,25.4,769
Patriots,152,59,12,8,60,19.6,707
Jets,165,70,6,4,80,21.9,740
Jaguars,143,50,26,12,58,23.9,682
Chiefs,140,52,18,7,66,24.3,655
Bengals,138,61,8,2,88,28.7,696
Broncos,127,46,24,12,84,26.6,704
Seahawks,152,67,17,6,78,25.6,742
Titans,151,60,15,10,68,21,701
Dolphins,142,51,21,9,72,26.6,687
49ers,138,55,15,6,64,28.4,674
