Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Daunte Culpepper,4717,8.6,548,379,69.2,39,11,110.9,224,40.9,63,18,82,46,238
Trent Green,4591,8.3,556,369,66.4,27,17,95.2,227,40.8,59,9,70,32,227
Peyton Manning,4557,9.2,497,336,67.6,49,10,121.1,232,46.7,68,13,80,13,101
Jake Plummer,4089,7.8,521,303,58.2,27,20,84.5,184,35.3,55,9,85,15,90
Brett Favre,4088,7.6,540,346,64.1,30,17,92.4,202,37.4,50,12,79,12,93
Marc Bulger,3964,8.2,485,321,66.2,21,14,93.7,180,37.1,56,6,56,41,302
Jake Delhomme,3886,7.3,533,310,58.2,29,15,87.3,192,36,60,8,63,33,246
Donovan McNabb,3875,8.3,469,300,64,31,8,104.7,175,37.3,50,20,80,32,192
Aaron Brooks,3810,7,542,309,57,21,16,79.5,177,32.7,57,5,57,41,223
Tom Brady,3692,7.8,474,288,60.8,28,14,92.6,188,39.7,52,10,50,26,162
Vinny Testaverde,3532,7.1,495,297,60,17,20,76.4,163,32.9,47,4,53,34,182
David Carr,3531,7.6,466,285,61.2,16,14,83.6,173,37.1,47,6,69,49,301
Kerry Collins,3495,6.8,513,289,56.3,21,20,74.8,153,29.8,49,8,63,25,144
Matt Hasselbeck,3382,7.1,474,279,58.9,22,15,83.2,177,37.3,43,2,60,30,155
Drew Brees,3159,7.9,400,262,65.5,27,7,104.8,141,35.2,40,9,79,18,131
Joey Harrington,3047,6.2,489,274,56,19,12,77.5,138,28.2,43,4,62,36,196
Byron Leftwich,2941,6.7,441,267,60.5,15,10,82.2,140,31.8,33,7,65,25,114
Drew Bledsoe,2932,6.5,450,256,56.9,20,16,76.6,144,32,31,9,69,37,215
Carson Palmer,2897,6.7,432,263,60.9,18,18,77.3,140,32.4,34,8,76,25,178
Chad Pennington,2673,7.2,370,242,65.4,16,9,91,136,36.8,33,6,48,18,103
Brian Griese,2632,7.8,336,233,69.4,20,12,97.5,126,37.5,35,6,68,26,169
Ben Roethlisberger,2621,8.9,295,196,66.4,17,11,98.1,130,44.1,43,7,58,30,213
Kyle Boller,2559,5.5,464,258,55.6,13,11,70.9,135,29.1,28,4,57,35,247
Josh McCown,2511,6.2,408,233,57.1,11,10,74.1,122,29.9,30,3,48,31,263
Billy Volek,2486,7,357,218,61.1,18,10,87.1,120,33.6,34,5,48,30,216
Mike Vick,2313,7.2,321,181,56.4,14,12,78.1,103,32.1,35,8,62,46,266
Tim Rattay,2169,6.7,325,198,60.9,10,10,78.1,108,33.2,19,2,65,37,211
Kurt Warner,2054,7.4,277,174,62.8,6,4,86.5,93,33.6,24,6,62,39,196
A.J. Feeley,1893,5.3,356,191,53.6,11,15,61.7,101,28.4,15,0,38,23,136
Jeff Garcia,1731,6.9,252,144,57.1,10,9,76.7,71,28.2,18,8,99,24,99
Patrick Ramsey,1665,6.1,272,169,62.1,10,11,74.8,89,32.7,17,2,51,23,137
Steve McNair,1343,6.2,215,129,60,8,9,73.1,76,35.4,10,0,37,13,95
Ken Dorsey,1231,5.4,226,123,54.4,6,9,62.4,60,26.6,9,1,59,13,94
Mark Brunell,1194,5,237,118,49.8,7,6,63.9,66,27.8,10,3,49,15,105
Jay Fiedler,1186,6.2,190,101,53.2,7,8,67.1,54,28.4,19,3,71,25,165
Eli Manning,1043,5.3,197,95,48.2,6,9,55.4,50,25.4,11,4,52,13,83
Chad Hutchinson,903,5.6,161,92,57.1,4,3,73.6,43,26.7,8,2,63,23,160
Kelly Holcomb,737,8.5,87,59,67.8,7,5,96.8,35,40.2,10,2,55,5,31
Craig Krenzel,718,5.6,127,59,46.5,3,6,52.5,32,25.2,13,2,49,23,158
Brad Johnson,674,6.5,103,65,63.1,3,3,79.5,28,27.2,9,3,54,8,55
Jon Kitna,623,6,104,61,58.6,5,4,75.9,32,30.8,8,0,30,6,41
Luke McCown,608,6.2,98,48,49,4,7,52.6,19,19.4,8,4,58,12,122
Rex Grossman,607,7.2,84,47,56,1,3,67.9,28,33.3,8,1,40,5,22
Rich Gannon,524,7.7,68,41,60.3,3,2,86.9,23,33.8,6,3,58,5,17
Shaun King,502,6,84,47,56,1,4,57.7,23,27.4,6,1,40,6,42
Quincy Carter,498,8.6,58,35,60.3,3,1,98.2,25,43.1,4,3,69,12,70
Chris Simms,467,6.4,73,42,57.5,1,3,64.1,21,28.8,6,1,75,10,75
Chris Chandler,463,7.5,62,35,56.4,2,8,51.4,15,24.2,8,2,75,7,54
Jonathan Quinn,413,4.2,98,51,52,1,3,53.7,18,18.4,4,0,32,15,109
David Garrard,374,5.2,72,38,52.8,2,1,71.2,21,29.2,2,0,36,6,35
Trent Dilfer,333,5.7,58,25,43.1,1,3,46.1,12,20.7,4,2,56,4,21
Matt Schaub,330,4.7,70,33,47.1,1,4,42,15,21.4,2,1,59,4,14
Tommy Maddox,329,5.5,60,30,50,1,2,58.3,15,25,4,0,39,6,37
Craig Nall,314,9.5,33,23,69.7,4,0,139.4,19,57.6,5,1,43,2,8
Doug Flutie,276,7.3,38,20,52.6,1,0,85,15,39.5,4,0,29,1,7
Sage Rosenfels,264,6.8,39,16,41,1,3,41,9,23.1,3,1,76,3,16
Koy Detmer,207,5.2,40,18,45,0,2,40.3,6,15,5,0,31,2,16
Jamie Martin,188,6.3,30,16,53.3,0,0,72.6,8,26.7,3,0,26,2,6
Jim Sorgi,175,6,29,17,58.6,2,0,99.1,6,20.7,1,1,71,1,8
John Navarre,168,4.2,40,18,45,1,4,25.8,6,15,1,0,33,1,8
Jeff Blake,126,3.4,37,18,48.6,1,1,54.6,7,18.9,1,0,21,2,17
Doug Pederson,120,5.2,23,11,47.8,0,2,27.4,5,21.7,2,0,24,0,0
Drew Henson,78,4.3,18,10,55.6,1,1,61.8,7,38.9,0,0,16,2,26
Mike McMahon,77,5.1,15,11,73.3,0,1,56.8,4,26.7,0,0,19,1,12
Doug Johnson,68,5.7,12,6,50,0,0,67.4,2,16.7,1,0,33,1,6
Brooks Bollinger,60,6.7,9,5,55.6,0,0,76.2,2,22.2,1,0,26,1,8
Cody Pickett,55,5.5,10,4,40,0,2,18.8,4,40,0,0,18,2,14
Rohan Davey,54,5.4,10,4,40,0,0,57.9,4,40,1,0,20,0,0
Marty Booker,48,48,1,1,100,0,0,118.8,1,100,1,1,48,0,0
Shane Matthews,44,14.7,3,2,66.7,1,0,149.3,2,66.7,1,0,33,0,0
Todd Collins,42,8.4,5,1,20,0,0,62.1,1,20,1,1,42,0,0
LaDainian Tomlinson,38,19,2,1,50,0,0,95.8,1,50,1,0,38,1,1
Randy Moss,37,18.5,2,1,50,0,1,56.2,1,50,1,0,37,0,0
Philip Rivers,33,4.1,8,5,62.5,1,0,110.9,3,37.5,0,0,13,1,10
J.P. Losman,32,6.4,5,3,60,0,1,39.2,2,40,0,0,17,1,0
Richie Anderson,26,26,1,1,100,1,0,158.3,1,100,1,0,26,0,0
Drew Bennett,26,26,1,1,100,1,0,158.3,1,100,1,0,26,0,0
Peerless Price,25,25,1,1,100,0,0,118.8,1,100,1,0,25,0,0
Chris Mohr,24,8,3,2,66.7,0,0,91,1,33.3,1,0,26,0,0
