Player,FF,FR,FR TD
Robert Mathis,6,3,0
Will Smith,6,0,0
Nate Clements,5,1,0
Steve Foley,5,2,0
Lance Johnstone,5,0,0
Aaron Schobel,5,3,0
Bertrand Berry,4,2,0
John Engelberger,4,1,0
Dwight Freeney,4,0,0
James Hall,4,1,0
Darren Howard,4,3,0
Chike Okeafor,4,0,0
Julius Peppers,4,1,1
Adalius Thomas,4,0,0
Greg Wesley,4,0,0
John Abraham,3,1,0
David Bowens,3,0,0
Tedy Bruschi,3,0,0
Antonio Cochran,3,1,0
Rod Coleman,3,1,0
Mike Doss,3,0,0
Donnie Edwards,3,0,0
James Farrior,3,3,0
Randall Godfrey,3,1,0
Charles Grant,3,1,0
Rodney Harrison,3,0,0
Artrell Hawkins,3,0,0
Kelly Herndon,3,1,0
Tommy Kelly,3,1,0
John Lynch,3,0,0
Sam Madison,3,0,0
Mike Minter,3,2,0
Adewale Ogunleye,3,1,0
Joey Porter,3,0,0
Ed Reed,3,2,1
Dunta Robinson,3,0,0
Asante Samuel,3,0,0
Jamie Sharper,3,1,1
Brian Simmons,3,1,0
Aaron Smith,3,2,0
Brady Smith,3,2,1
Dwight Smith,3,0,0
Takeo Spikes,3,1,0
Greg Spires,3,2,0
Osi Umenyiora,3,4,1
Jamie Winborn,3,1,0
Keith Adams,2,0,0
James Allen,2,2,0
Akin Ayodele,2,1,0
Jerry Azumah,2,0,0
Ronde Barber,2,2,2
Gary Baxter,2,0,0
Aaron Beasley,2,0,0
Jay Bellamy,2,3,0
Michael Boulware,2,0,0
Keith Brooking,2,1,0
Derrick Brooks,2,0,0
Alex Brown,2,1,0
Fakhir Brown,2,3,0
Duane Clemons,2,0,0
Ricardo Colclough,2,0,0
Deke Cooper,2,0,0
Donovin Darius,2,4,0
James Darling,2,0,0
Keith Davis,2,0,0
Brian Dawkins,2,1,0
Will Demps,2,2,0
Tony Dixon,2,0,0
Kalimba Edwards,2,1,0
Shaun Ellis,2,1,0
Jason Ferguson,2,0,0
Bryce Fisher,2,0,0
London Fletcher,2,1,0
Kabeer Gbaja-Biamila,2,0,0
Barrett Green,2,2,1
Michael Green,2,4,0
Clark Haggans,2,1,0
Michael Hawthorne,2,2,1
Albert Haynesworth,2,0,0
Tory James,2,1,0
Ed Jasper,2,2,0
Joseph Jefferson,2,0,0
Landon Johnson,2,1,0
Jevon Kearse,2,1,0
Kenoy Kennedy,2,1,0
Patrick Kerney,2,1,0
Sammy Knight,2,1,0
Kenard Lang,2,0,0
Michael Lewis,2,1,0
Bobby McCray,2,0,0
Willie McGinest,2,1,0
Reggie Myles,2,1,0
Terence Newman,2,0,0
Calvin Pace,2,0,0
Adrian Peterson,2,0,0
Sam Rayburn,2,0,0
Fred Robbins,2,0,0
Darren Sharper,2,1,1
Justin Smith,2,2,0
Fred Smoot,2,1,0
Marcus Stroud,2,1,0
Jason Taylor,2,3,0
Sean Taylor,2,0,0
David Thornton,2,0,0
Reggie Torbor,2,1,0
Brian Urlacher,2,0,0
Al Wallace,2,1,0
Gerard Warren,2,0,0
Ty Warren,2,0,0
Nate Wayne,2,0,0
Marcus Wilkins,2,2,0
Dan Wilkinson,2,0,0
Aeneas Williams,2,0,0
Brian Williams,2,0,0
Jay Williams,2,0,0
Kevin Williams,2,3,1
Al Wilson,2,0,0
Eugene Wilson,2,2,0
Antoine Winfield,2,1,0
Charles Woodson,2,1,0
Cameron Worrell,2,0,0
Anthony Adams,1,0,0
Sam Adams,1,0,0
Brent Alexander,1,2,0
Will Allen,1,0,0
Will Allen,1,0,0
Ashley Ambrose,1,1,0
Marques Anderson,1,2,0
Adam Archuleta,1,1,1
Rashad Baker,1,0,0
Shawn Barber,1,0,0
David Barrett,1,0,0
Eric Barton,1,4,0
Idrees Bashir,1,1,0
Monty Beisel,1,1,0
Marcus Bell,1,0,0
Kevin Bentley,1,0,0
Terreal Bierria,1,0,0
Cory Bird,1,0,0
Leigh Bodden,1,0,0
Matt Bowen,1,0,0
Sam Brandon,1,0,0
Raheem Brock,1,2,0
Chad Brown,1,1,0
Mark Brown,1,0,0
Sheldon Brown,1,0,0
John Browning,1,0,0
Roderick Bryant,1,0,0
Tony Bua,1,0,0
Ray Buchanan,1,0,0
Terrell Buckley,1,0,0
Brentson Buckner,1,0,0
Keith Bulluck,1,1,1
Keith Burns,1,0,0
Dwaine Carpenter,1,1,1
Andre Carter,1,0,0
Dyshod Carter,1,1,0
Kevin Carter,1,1,0
Chris Cash,1,0,0
Oliver Celestin,1,0,0
Corey Chavous,1,0,0
Larry Chester,1,0,0
Chris Claiborne,1,1,0
Danny Clark,1,0,0
Chris Clemons,1,0,0
Rich Coady,1,1,0
Marco Coleman,1,0,0
Rosevelt Colvin,1,0,0
Chris Cooley,1,0,0
Sam Cowart,1,0,0
Jason Craft,1,0,0
Donte Curry,1,1,0
Kevin Curtis,1,0,0
Karlos Dansby,1,3,0
Chartric Darby,1,1,0
Jason David,1,0,0
Russell Davis,1,0,0
Ryan Denney,1,0,0
Jared DeVries,1,0,0
Darnell Dockett,1,0,0
Marques Douglas,1,0,0
Chris Draft,1,0,0
Antuan Edwards,1,0,0
Ebenezer Ekuban,1,1,0
Greg Ellis,1,0,0
Kevin Faulk,1,0,0
Mark Fields,1,1,0
Travis Fisher,1,0,0
Larry Foote,1,1,0
Ryan Fowler,1,0,0
Chris Gamble,1,0,0
Robert Geathers,1,0,0
Aaron Glenn,1,0,0
La'Roi Glover,1,0,0
Andre' Goodman,1,0,0
Daniel Graham,1,0,0
Howard Green,1,0,0
Jarvis Green,1,3,1
Kelly Gregg,1,1,0
Nick Greisen,1,1,0
Mario Haggan,1,0,0
Jermaine Haley,1,1,0
DeAngelo Hall,1,0,0
Travis Hall,1,1,0
Ken Hamlin,1,0,0
Anthony Hargrove,1,0,0
Quentin Harris,1,1,0
Tommie Harris,1,0,0
Walt Harris,1,0,0
Shaunard Harts,1,0,0
Edgerton Hartwell,1,0,0
Gerald Hayes,1,1,0
Michael Haynes,1,0,0
Reggie Hayward,1,1,0
E.J. Henderson,1,0,0
Kim Herring,1,0,0
Renaldo Hill,1,0,0
Hunter Hillenmeyer,1,1,0
Terrence Holt,1,0,0
Roderick Hood,1,3,0
Chris Hope,1,0,0
Jason Horton,1,0,0
Reggie Howard,1,1,0
Cletidus Hunt,1,0,0
Chidi Iwuoma,1,0,0
Dexter Jackson,1,0,0
Michael Jameson,1,1,0
Cullen Jenkins,1,1,0
Raylee Johnson,1,0,0
Ted Johnson,1,0,0
Fred Jones,1,0,0
Tebucky Jones,1,1,0
Isaiah Kacyvenski,1,0,0
Aaron Kampman,1,1,0
Brad Kassell,1,0,0
Chris Kelsay,1,2,0
Clint Kriewaldt,1,0,0
Teddy Lehman,1,0,0
Damione Lewis,1,0,0
Keith Lewis,1,1,0
Ray Lewis,1,2,0
Earl Little,1,1,0
Leonard Little,1,4,2
Mike Logan,1,0,0
David Macklin,1,1,0
David Martin,1,0,0
Rashean Mathis,1,0,0
Darrell McClover,1,0,0
Jerome McDougle,1,0,0
Anthony McFarland,1,1,0
Jon McGraw,1,0,0
Shad Meier,1,0,0
Quintin Mikell,1,1,0
Kawika Mitchell,1,2,1
Brandon Moore,1,0,0
Langston Moore,1,0,0
Dan Morgan,1,2,0
Rob Morris,1,0,0
Sammy Morris,1,0,0
Michael Myers,1,1,0
Dat Nguyen,1,1,0
Antwan Odom,1,0,0
Eric Ogbogu,1,1,0
Ifeanyi Ohalete,1,1,0
Deltha O'Neal,1,0,0
Tony Parrish,1,1,0
Antwan Peek,1,1,1
Julian Peterson,1,0,0
Mike Peterson,1,1,0
William James,1,0,0
Ryan Pickett,1,0,0
Antonio Pierce,1,2,0
Terry Pierce,1,0,0
Troy Polamalu,1,0,0
Tommy Polley,1,0,0
Tyrone Poole,1,0,0
Derrick Pope,1,1,1
Carl Powell,1,0,0
Saleem Rasheed,1,1,0
Keiwan Ratliff,1,1,0
Montae Reagor,1,1,0
Cory Redding,1,2,0
Rayshun Reed,1,0,0
Ike Reese,1,0,0
Marcus Reese,1,0,0
Dexter Reid,1,1,0
Simeon Rice,1,0,0
Kris Richard,1,0,0
Dewayne Robertson,1,0,0
Derrick Rodgers,1,0,0
Mike Rucker,1,1,0
Brian Russell,1,1,0
Joe Salave'a,1,0,0
Benny Sapp,1,0,0
Brad Scioli,1,0,0
Bryan Scott,1,1,0
Richard Seymour,1,1,1
Brandon Short,1,0,0
Anthony Simmons,1,0,0
Jason Simmons,1,0,0
Mark Simoneau,1,1,0
Alshermond Singleton,1,0,0
T.J. Slaughter,1,0,0
Keith Smith,1,0,0
Justin Snow,1,0,0
Nick Sorensen,1,0,0
Donnie Spragan,1,1,0
Shawn Springs,1,0,0
Duane Starks,1,2,0
Randy Starks,1,2,0
Tony Stewart,1,0,0
Michael Strahan,1,3,0
Terrell Suggs,1,2,0
Robert Tate,1,0,0
Bobby Taylor,1,0,0
Dontarrious Thomas,1,1,0
Joey Thomas,1,0,0
Juqua Parker,1,1,0
Kevin Thomas,1,0,0
Lamont Thompson,1,0,0
Kalen Thornton,1,0,0
Charles Tillman,1,0,0
Reggie Tongue,1,1,0
Deshea Townsend,1,1,0
Larry Tripplett,1,0,0
Marcus Tubbs,1,0,0
Kenechi Udeze,1,0,0
Jeff Ulbrich,1,0,0
Darwin Walker,1,0,0
Frank Walker,1,0,0
Gary Walker,1,0,0
