Player,Comb,Asst,Solo,Sck
Keith Bulluck,152,52,71,5
Donnie Edwards,150,46,67,1
Ray Lewis,146,46,72,1
Zach Thomas,145,60,71,2
London Fletcher,142,50,51,3.5
Rodney Harrison,138,44,73,3
Derrick Brooks,137,28,77,3
Jamie Sharper,137,41,71,2
Danny Clark,129,31,63,2
Lance Briggs,126,24,86,0.5
Mike Peterson,126,33,69,5
Nick Barnett,123,31,75,3
Tedy Bruschi,122,46,43,3.5
Robert Griffith,118,26,70,1
D.J. Williams,114,33,66,2
Antonio Pierce,112,27,68,1
Earl Holmes,111,33,67,0
Cato June,110,26,52,0
Derek M. Smith,110,30,60,1.5
Morlon Greenwood,108,42,51,0
Eric Barton,107,30,47,2.5
Dat Nguyen,107,32,66,1
Jonathan Vilma,107,30,46,2
Marcus Washington,107,20,74,4.5
Michael Green,106,24,66,1.5
Shelton Quarles,104,33,51,3.5
Brian Simmons,104,31,54,1
Al Wilson,104,33,56,2.5
Madieu Williams,103,17,75,2
Will Witherspoon,103,18,73,3
Teddy Lehman,102,27,61,1
Adrian Wilson,102,22,63,1
Keith Brooking,101,15,72,2.5
Tebucky Jones,101,23,64,0
Brad Kassell,101,27,47,0
Dan Morgan,101,23,65,2
Erik Coleman,100,27,54,2
Ronde Barber,98,15,68,3
Sammy Knight,98,46,43,0
Carlos Emmons,97,35,46,1
Terrence Kiel,97,25,53,1
Edgerton Hartwell,96,41,30,0
Troy Polamalu,96,29,53,1
Bryan Scott,96,11,80,2.5
Takeo Spikes,96,35,40,3
Marcus Trufant,96,10,66,1
Pisa Tinoisamoa,95,19,61,1.5
James Farrior,94,29,51,3
Roy Williams,94,21,65,0
James Darling,93,18,59,1
E.J. Henderson,93,28,52,1
Akin Ayodele,92,17,63,2
Terrence McGee,92,17,64,2
David Thornton,92,23,49,0
Jeff Ulbrich,92,19,64,1
Ray Buchanan,91,26,55,0
Kevin Lewis,91,26,45,1
Jay Bellamy,90,18,57,0
Scott Fujita,90,23,60,4.5
Sheldon Brown,89,23,63,3
Chris Hope,89,31,49,0
Isaiah Kacyvenski,89,21,47,1
Adam Archuleta,88,13,66,2
Michael Lewis,88,14,72,0
Brock Marion,88,22,59,0
Donovin Darius,87,28,49,0
Landon Johnson,87,27,51,2
Kenoy Kennedy,87,18,56,2
Tony Parrish,87,28,47,0.5
Dunta Robinson,87,14,60,3
Gary Baxter,86,16,55,2
Will Demps,85,19,51,2.5
Antoine Winfield,85,15,60,0
Randall Godfrey,84,19,37,2
James Davis,83,25,48,3.5
Dwight Smith,83,11,62,0
Champ Bailey,81,13,58,0
Ryan Clark,81,16,59,0
Mike Minter,81,20,53,2
Brian Russell,81,19,46,0
Brent Alexander,80,24,45,2
Will Allen,80,6,64,1
Corey Chavous,80,21,50,0
Na'il Diggs,80,19,49,1
Ken Hamlin,80,16,47,2
Jerametrius Butler,79,6,67,0
Jay Foreman,79,26,36,0
Nick Greisen,79,19,38,2
Orlando Ruff,79,21,40,0
Charles Grant,78,13,51,10.5
Warrick Holdman,78,29,33,0.5
Tommy Polley,78,12,51,2
Bracy Walker,78,22,50,1
David Barrett,77,14,55,0
Nick Harper,77,19,44,0
Ted Johnson,77,22,25,1
Rob Morris,77,24,38,3
Anthony Henry,76,9,60,0
Ed Reed,76,14,50,2
Sean Taylor,76,16,55,1
Dewayne Washington,76,8,61,0
John Henderson,75,13,47,5.5
Hunter Hillenmeyer,75,20,46,2.5
Todd Johnson,75,12,51,0
Terreal Bierria,74,23,38,0
Chris Gamble,74,6,59,0
David Macklin,74,12,55,0.5
Ronald McKinnon,74,25,37,0
Brian Williams,74,13,56,0
Jerry Wilson,74,23,41,0
Nate Clements,73,20,44,0.5
Aaron Schobel,73,28,28,8
Charles Woodson,73,15,45,2.5
Marques Anderson,72,17,38,0
Marques Douglas,72,24,33,5.5
Kawika Mitchell,72,14,47,1
Mark Roman,72,19,40,3.5
Adalius Thomas,72,17,40,8
Dexter Coakley,71,18,46,0
Andra Davis,71,18,36,0.5
Ian Gold,71,17,41,0.5
Ronnie Heard,71,12,51,0
Dhani Jones,71,22,45,0.5
Matt Stewart,71,12,51,1.5
Reggie Tongue,71,17,37,0
Mike Vrabel,71,17,33,5.5
Kailee Wong,71,20,41,5.5
Cornelius Griffin,70,14,48,6
Ken Lucas,70,8,53,0
Ifeanyi Ohalete,70,13,39,0
Darren Sharper,70,13,50,0
Justin Smith,70,29,36,8
Shawntae Spencer,70,8,53,0
Brian Urlacher,70,18,36,5.5
Kevin Williams,70,18,42,11.5
Brian Dawkins,69,8,53,3
Larry Foote,69,17,38,3
Kevin Hardy,69,27,31,4
Lemar Marshall,69,21,45,1.5
Jeremiah Trotter,69,9,54,1
Terence Newman,68,4,61,0
William James,68,8,50,0
Shaun Rogers,68,20,40,4
Kelly Herndon,67,14,41,1
Aaron Kampman,67,20,32,4.5
R.W. McQuarters,67,12,46,0
Donnie Spragan,67,22,34,1
Jason Taylor,67,27,36,9.5
Eugene Wilson,67,10,49,0
Kevin Kaesviharn,66,16,40,0
Patrick Kerney,66,12,49,13
Ricky Manning,66,12,50,0
Greg Wesley,66,7,52,0
Antuan Edwards,65,18,42,1
Deon Grant,65,15,43,1
Kevin Mathis,65,5,54,0
Jeff Posey,65,26,19,1
Chaun Thompson,65,22,27,2.5
Steve Foley,64,17,36,10
John Lynch,64,17,39,2
Julius Peppers,64,12,44,11
Shawn Springs,64,12,46,6
Lamont Thompson,64,10,44,0
Jason Babin,63,12,33,4
Michael Boulware,63,16,32,1
Aaron Glenn,63,8,41,0
Kim Herring,63,13,42,0
Rashean Mathis,63,10,51,0
Jeff Zgonina,63,31,26,5
Kevin Bentley,62,19,36,0
Mark Fields,62,12,44,4
Al Harris,62,6,50,0
Quentin Jammer,62,9,38,0
Niko Koutouvides,62,13,21,1
Kenard Lang,62,13,37,7
Napoleon Harris,61,14,35,0
Tory James,61,5,45,0
Lawyer Milloy,61,22,21,4
Jim Nelson,61,15,34,0
Jamie Winborn,61,9,43,4.5
Karlos Dansby,60,17,37,5
Kelly Gregg,60,17,22,1.5
Ben Leber,60,11,38,2
Greg Spires,60,15,37,8
Terrell Suggs,60,15,29,10.5
Phillip Buchanon,59,9,43,0
Greg Ellis,59,15,39,9
Alex Lewis,59,15,42,2
Fred Smoot,59,6,48,0
Dontarrious Thomas,59,17,34,0.5
Brian Young,59,19,27,2.5
Jason Ferguson,58,22,20,3.5
Brian Kelly,58,7,42,0
Duane Starks,58,5,46,1
Patrick Surtain,58,18,36,1
Osi Umenyiora,58,18,28,7
