Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Bears,15.7,30,470,2,9,3,82T,16,4
Cardinals,15.1,46,696,4,8,5,99T,22,3
Broncos,12.7,47,596,2,6,2,90,19,4
Bills,12.6,26,329,1,4,2,80T,21,1
Niners,12.4,44,544,1,10,3,55T,23,1
Chiefs,11.9,40,475,0,6,0,37,10,2
Bengals,11.5,53,610,1,6,3,63,18,1
Dolphins,11.4,46,526,0,5,0,25,24,3
Browns,11.1,38,423,1,6,2,84T,9,4
Seahawks,11,42,464,0,7,0,37T,16,2
Rams,11,27,297,1,3,1,88,25,4
Packers,10.9,27,295,1,3,3,80,19,2
Steelers,10.5,33,347,1,6,2,60T,26,0
Titans,10.4,47,490,1,7,1,79,18,1
Texans,10.4,51,529,1,7,5,79,11,0
Patriots,10.2,38,389,1,2,1,72T,13,4
Saints,10.1,29,294,1,5,1,72T,19,0
Jets,9.7,44,426,0,5,1,53T,21,6
Ravens,9.6,36,345,1,4,1,68,27,3
Falcons,9.6,33,315,0,2,1,42T,19,1
Redskins,8.9,37,328,0,8,1,55T,9,5
Chargers,8.5,31,264,0,2,0,31,12,1
Vikings,8.4,33,277,0,3,1,53,20,0
Raiders,8.2,32,264,0,3,0,34,9,1
Buccaneers,8,29,231,0,3,0,34,14,6
Lions,7.9,38,301,0,2,0,28T,28,5
Cowboys,7.2,41,293,0,3,0,25,14,2
Eagles,7.1,30,212,0,3,1,51,28,4
Giants,6.1,28,171,0,0,0,18T,21,3
Panthers,5.5,32,176,0,0,0,17,9,0
Jaguars,4.4,34,148,0,2,0,28T,19,1
Colts,3.4,32,108,0,2,0,21T,23,0
