Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Redskins,102,6359,34,33.3,66,17.5,0,0,1,0
Bills,93,5560,28,30.1,62,20.4,0,0,2,0
Oilers,84,5005,15,17.9,63,16.9,0,0,5,0
Dolphins,81,4865,12,14.8,66,19.4,0,0,0,0
Cowboys,80,4546,3,3.8,69,16.9,0,1,5,1
49ers,80,4878,13,16.2,66,19.5,0,0,1,1
Saints,79,5152,43,54.4,35,24.3,0,0,1,2
Falcons,78,4772,10,12.8,67,21.2,0,0,0,1
Jets,78,3878,6,7.7,60,15.4,0,1,2,1
Broncos,75,4202,8,10.7,62,17.7,0,0,2,0
Chiefs,75,4517,13,17.3,57,20.5,0,0,4,0
Raiders,74,4300,15,20.3,58,18.3,0,0,0,1
Eagles,74,4541,14,18.9,60,19.1,0,0,0,0
Lions,71,3729,2,2.8,63,17.4,0,1,3,0
Vikings,70,4167,21,30,43,19.8,0,1,4,0
Seahawks,70,4158,15,21.4,51,16.8,0,1,1,0
Giants,69,3895,12,17.4,55,17.1,0,0,1,0
Steelers,69,4379,25,36.2,43,19.2,0,0,1,0
Bengals,68,4143,27,39.7,38,19.5,0,0,1,0
Bears,67,3772,6,9,58,19.6,0,0,2,0
Browns,67,3977,15,22.4,50,20.4,0,0,2,0
Chargers,66,3936,12,18.2,52,19.9,0,0,2,0
Packers,63,3773,15,23.8,46,20.5,0,0,1,0
Patriots,63,3299,8,12.7,51,16.7,0,0,0,0
Rams,59,3509,13,22,39,17.2,0,0,5,0
Cardinals,56,3352,11,19.6,42,22.8,0,0,1,1
Buccaneers,53,3223,18,34,32,22.5,0,0,0,0
Colts,46,2543,8,17.4,33,17.4,0,0,3,0
