Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Cowboys,21.7,52,1127,1,26,2,102T,0,2
Seahawks,21.3,60,1280,0,33,4,55,0,1
Chargers,21.3,55,1171,1,28,4,95T,4,2
49ers,20.6,50,1028,1,21,3,98T,0,3
Lions,20.5,57,1170,0,24,5,71,0,1
Vikings,20.4,44,899,0,21,3,50,0,2
Chiefs,20.4,48,978,0,20,1,76,0,0
Packers,20,60,1197,1,27,1,82T,1,5
Patriots,19.8,56,1108,1,26,2,99T,3,1
Steelers,19.6,67,1314,0,32,4,54,0,1
Colts,19.3,55,1061,1,22,1,88T,0,1
Falcons,19.2,52,997,1,18,2,100T,1,0
Redskins,18.9,49,926,0,21,1,46,1,3
Cardinals,18.7,52,972,0,24,0,39,0,0
Bills,18.6,52,970,1,20,1,91T,1,2
Broncos,18.6,37,687,0,14,1,55,0,1
Giants,18.3,50,917,0,17,2,51,0,2
Oilers,18.2,46,835,0,19,1,41,1,0
Rams,18.1,59,1070,0,22,1,48,1,1
Raiders,17.9,53,948,0,21,0,37,0,1
Dolphins,17.8,50,890,0,17,1,49,0,2
Bengals,17.8,69,1225,0,24,1,63,1,2
Saints,17.6,50,879,0,17,0,34,0,3
Buccaneers,17.4,60,1047,0,27,1,43,0,5
Jets,17.3,58,1003,0,22,3,53,1,5
Bears,16.6,46,763,0,14,0,31,1,0
Eagles,16.3,47,764,0,15,0,33,0,2
Browns,16.2,55,888,0,12,0,36,0,0
