Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Dolphins,33,84.6,34,97.1,0,0
Redskins,31,72.1,56,100,0,2
Jets,30,69.8,32,100,0,0
Raiders,29,85.3,29,96.7,0,1
Eagles,28,84.8,27,93.1,0,0
Cowboys,27,69.2,37,100,1,1
Broncos,27,75,31,96.9,0,0
Chiefs,25,83.3,35,100,0,0
Saints,25,78.1,38,100,0,0
Seahawks,25,80.6,27,96.4,0,1
Bengals,24,75,27,100,0,1
Giants,24,77.4,29,96.7,0,1
Oilers,23,74.2,41,91.1,0,0
Steelers,23,69.7,31,100,0,1
Falcons,21,80.8,40,97.6,1,0
Cardinals,21,70,19,100,0,0
Patriots,20,69,19,90.5,1,0
Bears,19,65.5,32,94.1,0,0
Lions,19,67.9,40,100,0,1
Chargers,19,65.5,31,100,1,0
Bills,18,62.1,56,96.6,1,0
Packers,18,75,31,100,1,0
Rams,17,100,25,96.2,0,0
Vikings,17,70.8,34,97.1,0,0
Browns,16,72.7,33,97.1,0,0
Colts,15,57.7,14,100,1,0
Buccaneers,15,75,22,100,0,0
49ers,14,50,49,98,1,0
