Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Broncos,115,7450,81,70.4,32,29.2,2,0,1,1
Patriots,99,6398,65,65.7,32,20.8,1,1,1,0
Seahawks,94,6185,48,51.1,44,24,0,0,1,0
Cowboys,93,5905,52,55.9,38,20.8,2,1,0,0
Packers,93,5914,30,32.3,61,25.8,1,1,1,1
Chiefs,92,6075,47,51.1,43,24.4,0,0,2,0
Chargers,92,6128,18,19.6,73,24.6,0,0,1,0
Niners,92,6064,38,41.3,54,20.4,0,0,0,0
Bears,90,5301,38,42.2,47,18.8,4,0,1,1
Eagles,90,5641,37,41.1,52,23.6,2,0,0,2
Colts,88,5850,41,46.6,43,25.2,2,0,2,0
Vikings,88,5651,44,50,41,27.2,2,0,1,1
Saints,87,5609,52,59.8,33,25.2,2,2,0,0
Cardinals,87,5758,33,37.9,54,24,0,0,0,0
Bengals,86,5496,32,37.2,52,23.4,1,0,1,0
Steelers,86,5201,24,27.9,55,22.3,3,0,3,0
Lions,84,5571,45,53.6,35,26.4,1,0,3,0
Bills,83,5394,34,41,48,23.4,1,0,0,0
Titans,83,5072,32,38.6,45,24.4,5,1,1,0
Ravens,82,5195,42,51.2,38,23,1,0,1,0
Panthers,82,5322,63,76.8,18,22.6,1,0,0,0
Rams,81,5250,52,64.2,25,21.8,3,1,2,0
Falcons,79,4902,50,63.3,23,24.8,6,3,0,0
Dolphins,75,4968,38,50.7,36,22.9,0,0,1,0
Raiders,74,4477,38,51.4,30,20.4,5,0,1,0
Browns,73,4534,42,57.5,27,22.7,5,0,0,0
Jets,73,4584,30,41.1,42,22.3,1,0,0,0
Redskins,72,4355,22,30.6,47,22.3,3,0,0,1
Giants,71,4527,35,49.3,33,21.8,2,0,0,0
Buccaneers,69,4363,41,59.4,24,18.8,4,2,1,0
Texans,68,4567,29,42.6,39,25.7,0,0,0,0
Jaguars,63,4103,36,57.1,25,20.4,1,0,1,0
