Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Niners,27.2,39,1060,1,33,2,102T,0,0
Vikings,26.9,53,1428,1,39,5,104,0,1
Saints,26.4,42,1111,0,33,2,92,0,0
Jets,26.3,62,1633,1,41,7,107,0,3
Titans,26,32,832,1,25,3,84T,0,1
Chargers,25.6,43,1100,1,33,3,105T,0,0
Texans,25.2,29,730,0,20,4,50T,0,2
Steelers,25.1,35,877,0,27,2,52,0,0
Ravens,24.9,42,1047,0,31,3,77T,0,4
Seahawks,24.8,46,1142,0,34,4,54,0,0
Broncos,24.5,39,956,0,25,3,67,0,0
Packers,24.5,41,1005,1,27,3,108T,0,1
Dolphins,24.2,39,942,0,26,2,77T,0,0
Lions,24,37,887,0,29,1,42,0,2
Cardinals,24,52,1246,0,41,1,51,0,0
Panthers,23.7,39,926,1,25,2,101,1,1
Browns,23.6,48,1134,0,32,3,63,0,0
Raiders,23.5,43,1011,1,21,4,101T,0,1
Falcons,23.5,24,563,0,18,0,37,0,0
Cowboys,23.3,33,768,0,19,2,69,0,0
Rams,23.3,55,1280,0,41,1,47,0,1
Giants,23.2,52,1209,0,37,1,40,0,0
Bills,23,37,853,0,26,3,54,0,0
Bengals,22.8,45,1026,0,30,1,45,0,3
Jaguars,22.4,47,1055,0,33,0,37T,0,1
Buccaneers,22.3,46,1024,0,29,2,78,0,1
Redskins,22.1,56,1239,0,34,3,47,0,2
Bears,21.7,57,1238,1,29,4,98,0,0
Patriots,21.4,46,986,0,30,0,37,0,1
Chiefs,21.3,46,979,0,26,0,35,0,2
Eagles,20.9,39,815,0,24,0,33,0,1
Colts,18.6,31,578,0,11,1,51,0,1
