Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Niners,44,84.6,34,100,1,1
Bengals,33,86.8,33,97.1,0,1
Dolphins,33,84.6,32,100,0,0
Cowboys,32,86.5,39,100,0,0
Texans,32,84.2,39,97.5,0,1
Raiders,31,88.6,36,100,1,0
Redskins,31,75.6,25,96.2,0,0
Ravens,30,76.9,40,100,0,1
Titans,29,90.6,34,100,1,1
Bears,28,87.5,37,100,1,2
Patriots,28,84.8,59,100,0,1
Saints,28,82.4,63,100,0,1
Chargers,28,80,44,97.8,1,0
Falcons,27,93.1,45,100,0,0
Buccaneers,26,92.9,23,100,0,0
Seahawks,25,83.3,34,100,0,0
Browns,24,82.8,20,100,0,1
Lions,24,82.8,54,100,0,0
Packers,24,85.7,68,98.6,1,1
Chiefs,24,80,20,100,0,0
Eagles,24,88.9,46,100,0,0
Bills,23,74.2,41,100,0,1
Colts,23,85.2,24,100,0,0
Jaguars,23,92,24,100,0,0
Steelers,23,74.2,36,100,0,1
Panthers,22,78.6,44,97.8,1,0
Vikings,22,78.6,38,97.4,1,0
Rams,21,75,18,100,0,1
Broncos,19,76,30,100,0,2
Giants,19,79.2,43,100,0,0
Jets,19,76,44,100,1,0
Cardinals,19,79.2,33,100,0,4
