Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Packers,110,7130,49,44.6,59,23.4,2,1,1,0
Saints,107,6962,68,63.6,36,25.8,3,0,0,1
Patriots,104,6821,41,39.4,60,21.6,2,0,2,0
Lions,97,6419,45,46.4,49,25.6,2,0,1,1
Niners,94,6228,47,50,46,23.1,1,1,0,0
Chargers,91,5944,32,35.2,57,25.5,2,2,0,1
Falcons,88,5745,25,28.4,60,24.8,1,0,1,0
Cowboys,86,5627,33,38.4,52,21.4,0,0,1,0
Texans,86,5568,38,44.2,46,22.4,2,1,0,0
Eagles,85,5521,32,37.6,51,23.1,1,0,1,0
Panthers,84,5451,53,63.1,30,27,2,0,0,0
Ravens,83,5562,45,54.2,36,29.2,2,0,0,1
Bears,82,5254,43,52.4,35,24.4,2,0,3,0
Dolphins,82,5407,40,48.8,41,22.8,1,0,1,0
Giants,82,5291,34,41.5,46,22.9,2,0,0,0
Raiders,81,5130,32,39.5,47,25.7,2,0,0,1
Jets,81,5156,17,21,61,21.2,2,0,1,0
Bengals,80,5317,36,45,44,20.8,0,0,0,0
Bills,79,4935,19,24,56,20.4,4,1,1,0
Titans,78,4991,44,56.4,30,22.7,2,1,2,0
Vikings,78,5027,19,24.4,57,24.6,1,0,1,1
Seahawks,75,4969,26,34.7,48,26,0,0,1,1
Cardinals,74,4993,22,29.7,52,25,0,0,0,0
Redskins,73,4629,32,43.8,36,20.8,3,0,3,0
Steelers,72,4789,28,38.9,43,23.7,0,0,1,0
Broncos,70,4508,47,67.1,20,24.6,2,1,1,0
Buccaneers,69,4270,37,53.6,25,22.8,6,1,1,1
Jaguars,65,4319,39,60,26,24.3,0,0,0,0
Colts,63,4220,41,65.1,19,30.7,3,0,0,0
Chiefs,60,3737,31,51.7,25,24.2,3,0,1,0
Browns,59,3728,10,17,46,22.9,3,1,1,1
Rams,54,3537,15,27.8,36,25.1,2,1,1,0
