Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Niners,44,52,84.6,2_2,16_16,14_13,11_6,0_0,0_0,55,3
Bengals,33,38,86.8,0_0,14_14,8_5,16_14,0_0,0_0,49,1
Dolphins,33,39,84.6,0_0,15_14,7_6,13_11,0_0,0_0,58,1
Cowboys,32,37,86.5,1_1,9_8,11_11,12_10,0_0,0_0,51,1
Texans,32,38,84.2,0_0,14_14,11_10,8_4,0_0,0_0,54,0
Raiders,31,35,88.6,1_1,8_8,5_5,11_10,0_0,0_0,63,2
Redskins,31,41,75.6,0_0,15_14,9_5,11_8,0_0,0_0,59,5
Ravens,30,39,76.9,1_1,9_9,12_10,11_9,0_0,0_0,51,0
Titans,29,32,90.6,0_0,5_5,10_9,10_9,0_0,0_0,53,0
Bears,28,32,87.5,0_0,10_10,6_6,10_6,0_0,0_0,57,0
Patriots,28,33,84.8,1_1,13_12,6_5,11_9,0_0,0_0,50,0
Saints,28,34,82.4,0_0,11_11,10_10,8_5,0_0,0_0,53,0
Chargers,28,35,80,0_0,11_11,5_4,12_9,0_0,0_0,53,0
Falcons,27,29,93.1,2_2,9_9,9_9,7_5,0_0,0_0,51,0
Buccaneers,26,28,92.9,0_0,5_5,6_6,14_13,0_0,0_0,55,0
Seahawks,25,30,83.3,2_2,6_5,10_9,8_7,0_0,0_0,52,2
Browns,24,29,82.8,0_0,9_7,4_3,8_7,0_0,0_0,54,2
Lions,24,29,82.8,0_0,9_9,9_8,4_2,0_0,0_0,51,1
Packers,24,28,85.7,1_1,5_4,14_14,5_3,0_0,0_0,58,0
Chiefs,24,30,80,1_1,7_7,7_6,12_7,0_0,0_0,54,2
Eagles,24,27,88.9,0_0,10_10,11_9,4_4,0_0,0_0,51,0
Bills,23,31,74.2,0_0,12_11,7_5,8_5,0_0,0_0,56,1
Colts,23,27,85.2,0_0,7_7,7_6,10_8,0_0,0_0,53,1
Jaguars,23,25,92,1_1,5_5,5_5,8_7,0_0,0_0,55,0
Steelers,23,31,74.2,2_2,8_8,8_6,11_6,0_0,0_0,51,1
Panthers,22,28,78.6,1_1,7_7,9_6,9_8,0_0,0_0,45,2
Vikings,22,28,78.6,0_0,7_7,8_7,10_6,0_0,0_0,53,1
Rams,21,28,75,0_0,7_7,7_6,12_8,0_0,0_0,49,1
Broncos,19,25,76,0_0,6_5,8_8,7_3,0_0,0_0,59,1
Giants,19,24,79.2,0_0,12_12,4_3,5_3,0_0,0_0,50,2
Jets,19,25,76,0_0,6_5,6_6,7_5,0_0,0_0,51,0
Cardinals,19,24,79.2,0_0,9_9,6_4,7_5,0_0,0_0,51,0
