Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Niners,44.6,3475,78,50.9,68,3970,28,1,12,9,17,39,315,0,1
Saints,44,2026,46,48.4,64,2224,13,7,6,4,10,19,118,0,1
Patriots,41.5,2368,57,46.5,65,2648,24,2,8,3,18,26,220,0,0
Dolphins,41.1,3207,78,48.8,70,3810,32,5,9,7,10,47,463,0,0
Raiders,40.9,3187,78,50.8,80,3960,27,7,10,9,8,44,593,2,0
Bears,40.4,3600,89,43.8,70,3903,21,3,14,4,27,41,223,0,0
Buccaneers,40.2,2697,67,45.1,65,3023,24,5,9,3,14,36,266,0,0
Broncos,40.2,4058,101,47.4,66,4783,33,3,13,7,27,51,585,1,0
Chiefs,40.2,3573,89,45.9,68,4084,27,5,17,5,26,36,411,1,0
Chargers,39.7,1865,47,47.5,71,2234,17,5,3,2,12,25,329,0,0
Colts,39.6,3488,88,46.6,64,4098,21,8,11,3,18,48,550,1,1
Falcons,39.4,2760,70,42.7,59,2990,27,2,9,4,24,31,150,0,1
Titans,39.4,3386,86,43.6,64,3747,31,10,10,7,23,36,221,0,0
Steelers,39.3,2318,59,45.5,66,2683,18,2,9,6,13,29,245,0,1
Seahawks,39.3,3730,95,46.6,77,4431,34,3,17,8,20,47,541,2,0
Giants,39.2,3218,82,45.7,62,3745,25,9,11,6,15,41,407,0,0
Bengals,39.2,3570,91,44.2,71,4023,24,8,10,9,26,38,273,1,0
Redskins,39,2572,66,43.1,63,2842,28,3,9,1,21,32,250,0,0
Jets,38.8,3565,92,42.7,63,3926,32,7,16,6,31,32,241,0,0
Ravens,38.6,2821,73,46.5,63,3393,21,11,9,9,11,33,392,2,0
Bills,38.6,2778,72,48.2,66,3472,20,4,7,10,8,43,494,0,1
Packers,38.6,2121,55,45.6,71,2506,23,3,14,4,10,24,305,1,0
Vikings,38,2925,77,45.7,60,3517,22,5,7,3,19,43,532,1,0
Texans,37.7,2789,74,44,69,3256,19,6,8,8,20,32,307,0,0
Eagles,37.5,2474,66,42.9,60,2830,19,2,8,9,16,31,176,0,1
Rams,37.3,3920,105,44.3,65,4652,29,9,14,9,28,45,552,2,1
Cardinals,37.3,3431,92,45,66,4141,26,4,13,5,20,50,610,1,0
Cowboys,37.3,2609,70,43.5,68,3047,25,9,6,8,17,30,278,0,1
Jaguars,36.5,3614,99,41.9,65,4147,20,9,15,10,17,48,333,0,0
Browns,36.3,3227,89,40.1,63,3570,32,13,20,2,28,26,303,1,0
Lions,36,2949,82,43.6,62,3573,23,7,19,7,13,36,484,1,0
Panthers,34.1,2253,66,42.7,56,2819,19,0,11,5,15,35,466,3,0
