Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Bills,471,2063,4.4,10,98,20.8
Seahawks,422,1626,3.8,4,83,19.7
Niners,397,1535,3.9,11,77,19.4
Eagles,443,1668,3.8,12,100,22.6
Jets,421,1412,3.4,9,68,16.2
Chargers,376,1725,4.6,14,98,26.1
Panthers,352,1391,4,4,70,19.9
Bengals,385,1544,4,6,72,18.7
Patriots,481,2145,4.5,11,110,22.9
Titans,446,1795,4,21,108,24.2
Broncos,420,1626,3.9,15,90,21.4
Packers,432,2000,4.6,16,116,26.8
Redskins,443,1769,4,23,102,23
Lions,377,1596,4.2,10,62,16.4
Chiefs,428,1923,4.5,9,88,20.6
Raiders,442,1727,3.9,15,100,22.6
Rams,440,1646,3.7,18,87,19.8
Ravens,440,1687,3.8,7,79,18
Vikings,443,1767,4,14,101,22.8
Cardinals,370,1351,3.6,5,68,18.4
Buccaneers,438,1762,4,10,95,21.7
Texans,454,1958,4.3,11,88,19.4
Colts,448,2002,4.5,14,101,22.5
Bears,483,2583,5.4,22,147,30.4
Steelers,433,1849,4.3,18,106,24.5
Saints,387,1786,4.6,11,82,21.2
Giants,454,1743,3.8,12,101,22.2
Jaguars,507,2108,4.2,20,121,23.9
Dolphins,484,1998,4.1,14,114,23.6
Browns,462,1781,3.8,13,103,22.3
Cowboys,437,2056,4.7,17,122,27.9
Falcons,455,2173,4.8,14,102,22.4
