Team,FR TD,SFTY,INT TD
Cowboys,3,0,2
Rams,3,1,2
Niners,3,1,2
Packers,2,0,0
Titans,2,0,1
Chiefs,2,0,5
Raiders,2,0,1
Falcons,1,0,2
Bills,1,0,2
Bears,1,0,5
Bengals,1,0,4
Browns,1,0,3
Broncos,1,0,1
Lions,1,2,1
Jaguars,1,1,1
Vikings,1,0,0
Patriots,1,0,2
Eagles,1,2,1
Cardinals,1,2,4
Seahawks,1,1,3
Redskins,1,0,4
Ravens,0,0,1
Panthers,0,0,4
Texans,0,1,1
Colts,0,2,1
Dolphins,0,1,2
Saints,0,0,0
Giants,0,0,2
Jets,0,0,1
Steelers,0,0,3
Chargers,0,0,1
Buccaneers,0,1,3
