Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Chargers,26,66,1716,2,39,6,93T,0,1
Eagles,23.8,49,1165,1,28,3,94T,0,2
Ravens,23.6,57,1347,0,32,3,76,0,3
Broncos,23.5,67,1576,0,46,2,52,0,1
Lions,23.4,80,1876,0,46,5,91,0,1
Saints,23.3,87,2027,0,52,5,68,0,1
Panthers,23.3,76,1769,2,42,7,99T,0,5
Raiders,23.1,66,1524,1,47,3,90T,0,1
Cowboys,23.1,64,1476,0,44,4,77,0,2
Falcons,22.8,70,1598,1,44,3,96T,0,3
Buccaneers,22.4,54,1208,0,33,3,86,1,6
Cardinals,22.2,67,1487,0,47,4,70,0,5
49ers,21.9,61,1336,0,38,2,65,0,0
Colts,21.8,84,1832,1,55,3,88T,0,0
Dolphins,21.4,57,1222,0,30,4,55,1,4
Vikings,21.4,77,1647,0,39,4,53,1,4
Jets,21.4,56,1196,0,31,1,50,0,1
Chiefs,21.2,61,1292,0,32,3,71,0,1
Redskins,20.8,65,1354,0,38,2,41,0,5
Bears,20.8,51,1060,0,29,0,37,1,2
Seahawks,20.8,72,1496,0,33,3,64T,0,3
Browns,20.7,62,1285,0,35,3,51,1,3
Rams,20.4,55,1123,0,33,1,40T,0,4
Jaguars,20.1,58,1164,1,27,1,95T,0,2
Patriots,20.1,59,1184,0,28,1,42,0,0
Titans,19.9,71,1413,1,28,2,101T,0,2
Bills,19.9,83,1651,0,44,0,37,0,2
Bengals,19.8,62,1230,0,24,3,64,0,2
Steelers,19.2,46,884,0,19,2,81,0,0
Packers,18.7,54,1008,0,23,1,53,0,1
Giants,17.7,60,1062,0,26,1,43,0,3
