Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Rams,98,6320,10,10.2,86,25.5,1,1,1,2
Colts,88,5361,0,0,87,23.1,0,0,1,0
Raiders,88,5562,12,13.6,75,22.1,0,0,1,1
Steelers,85,5113,9,10.6,73,21.4,1,1,2,1
Broncos,82,5165,10,12.2,69,22.1,2,0,1,1
Packers,82,4878,4,4.9,76,20,1,0,2,0
Patriots,82,4992,6,7.3,75,22.1,0,0,0,0
Chargers,82,5432,18,22,64,26.1,0,0,0,0
Eagles,79,4927,7,8.9,67,21.3,2,1,3,0
49ers,79,4686,7,8.9,68,20.7,2,0,2,0
Saints,78,4609,5,6.4,66,22.3,6,2,1,0
Buccaneers,77,4779,10,13,63,21,1,0,2,0
Falcons,75,4648,7,9.3,64,20.1,3,2,2,0
Jets,75,4738,9,12,63,21.5,2,0,2,0
Ravens,74,4438,7,9.5,64,21.8,3,1,1,0
Chiefs,74,4436,7,9.5,65,22.7,2,0,1,1
Bears,73,4419,4,5.5,66,20.5,1,1,2,0
Dolphins,73,4579,12,16.4,59,20.2,1,0,1,0
Titans,72,4503,12,16.7,57,24.9,1,1,2,0
Browns,71,4068,2,2.8,65,18.7,2,0,1,0
Giants,71,4246,2,2.8,66,24.1,1,0,2,0
Cardinals,68,3920,8,11.8,53,18.2,3,0,4,1
Seahawks,68,4216,4,5.9,64,19.9,0,0,0,1
Lions,67,4278,11,16.4,53,21.6,2,0,1,0
Jaguars,67,4056,1,1.5,64,19.8,1,0,1,0
Panthers,66,4151,4,6.1,60,22.3,2,0,0,0
Vikings,65,4036,4,6.2,59,21.5,0,0,2,1
Cowboys,64,3760,4,6.2,54,21.6,6,1,1,0
Redskins,64,3863,7,10.9,54,17.5,1,0,2,0
Bills,63,3364,2,3.2,52,19,7,1,2,0
Bengals,58,3469,8,13.8,46,25.2,2,2,1,1
