Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Steelers,618,2464,4,16,10,1,58T,134,21.7,6
Broncos,534,2333,4.4,13,13,3,51,127,23.8,13
Jets,527,2388,4.5,15,10,0,33T,135,25.6,6
Chargers,525,2185,4.2,24,19,4,52,130,24.8,11
Falcons,524,2672,5.1,20,22,4,60T,133,25.4,8
Patriots,524,2134,4.1,15,9,1,44,120,22.9,7
Chiefs,496,2289,4.6,31,10,2,46,138,27.8,7
Ravens,491,2063,4.2,11,8,3,75,102,20.8,7
Bills,483,1874,3.9,15,16,2,48T,102,21.1,10
Texans,481,1882,3.9,16,7,2,44,103,21.4,9
Cardinals,475,1668,3.5,15,9,1,62T,86,18.1,8
Redskins,471,1765,3.8,6,8,1,64T,91,19.3,8
Seahawks,468,2095,4.5,17,15,2,44,110,23.5,11
Cowboys,449,1769,3.9,14,10,1,53,100,22.3,10
Jaguars,446,1850,4.2,9,9,2,46,88,19.7,5
Browns,441,1657,3.8,6,9,1,46,94,21.3,16
Packers,441,1908,4.3,9,11,2,90,97,22,9
Bengals,437,1839,4.2,14,8,1,52T,93,21.3,8
Bears,430,1624,3.8,10,7,2,54T,84,19.5,10
Colts,427,1852,4.3,10,7,2,55,94,22,9
Giants,424,1904,4.5,18,12,3,72T,105,24.8,9
Panthers,422,1582,3.8,10,4,2,71T,85,20.1,5
Titans,420,1871,4.4,12,9,2,52,85,20.2,10
49ers,413,1449,3.5,10,7,1,60,83,20.1,11
Lions,407,1777,4.4,7,14,2,74,92,22.6,3
Saints,406,1606,4,15,10,3,71T,82,20.2,12
Buccaneers,393,1489,3.8,9,5,2,78T,74,18.8,10
Vikings,387,1823,4.7,8,8,1,49,98,25.3,9
Dolphins,384,1339,3.5,10,7,1,53,71,18.5,9
Rams,381,1624,4.3,11,7,3,48,96,25.2,2
Eagles,376,1639,4.4,10,11,3,50,87,23.1,2
Raiders,327,1295,4,10,6,3,60T,75,22.9,6
