Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Packers,598,382,63.9,7.6,4550,36,19,93.8,228,38.1,58,13,79,14,101
Titans,589,356,60.4,6.7,3933,27,19,82.1,200,34,46,5,48,44,317
Dolphins,586,309,52.7,5.8,3391,19,26,62.5,165,28.2,38,5,76,52,326
Raiders,582,330,56.7,6.9,4019,24,22,76.1,176,30.2,55,11,63T,30,161
Rams,580,372,64.1,8,4615,23,22,86.1,203,35,67,8,75T,50,362
Chiefs,561,370,66,8.3,4633,27,17,94.9,228,40.6,60,10,70T,32,227
49ers,561,325,57.9,6.2,3455,16,21,69.9,172,30.7,28,3,65,52,319
Vikings,552,380,68.8,8.6,4754,39,12,109.8,225,40.8,64,18,82T,46,238
Eagles,547,336,61.4,7.7,4208,32,11,96.4,188,34.4,56,20,80T,37,229
Saints,542,309,57,7,3810,21,16,79.5,177,32.7,57,5,57,41,223
Panthers,536,311,58,7.3,3889,29,15,87,192,35.8,60,8,63T,33,246
Bengals,536,324,60.4,6.6,3520,23,22,77,172,32.1,42,8,76T,31,219
Cardinals,533,299,56.1,6,3202,14,18,68.6,152,28.5,38,4,48,39,320
Seahawks,532,304,57.1,7,3715,23,18,79.1,189,35.5,47,4,60,34,176
Colts,527,353,67,9,4732,51,10,119.7,238,45.2,69,14,80,14,109
Broncos,521,303,58.2,7.8,4089,27,20,84.5,184,35.3,55,9,85T,15,90
Cowboys,519,308,59.3,7,3636,19,23,74.5,171,33,48,4,53,36,208
Redskins,514,288,56,5.6,2874,18,17,70,156,30.4,27,5,51,38,242
Jaguars,513,305,59.4,6.5,3315,17,11,80.7,161,31.4,35,7,65,32,156
Buccaneers,512,340,66.4,7.4,3773,24,18,89.1,175,34.2,50,10,75T,44,299
Lions,505,285,56.4,6.2,3124,19,13,76.7,142,28.1,43,4,62,37,208
Patriots,485,293,60.4,7.7,3750,29,14,92.6,193,39.8,53,10,50T,26,162
Giants,475,269,56.6,6.5,3097,12,13,73.5,143,30.1,35,10,62T,52,279
Bears,471,249,52.9,5.6,2641,9,16,61.7,121,25.7,33,5,63T,66,449
Texans,471,286,60.7,7.5,3547,16,14,83,174,36.9,47,6,69,49,301
Ravens,465,258,55.5,5.5,2559,13,11,70.7,135,29,28,4,57T,35,247
Bills,461,262,56.8,6.6,3032,21,17,76.7,149,32.3,33,9,69,38,215
Chargers,450,288,64,7.8,3506,29,8,102,160,35.6,45,9,79,21,149
Browns,439,251,57.2,7,3076,21,21,74.9,125,28.5,36,14,99,41,252
Jets,438,282,64.4,7.4,3231,19,11,90.5,163,37.2,38,9,69T,31,181
Falcons,395,217,54.9,6.8,2692,15,16,72,120,30.4,39,9,62,50,280
Steelers,358,228,63.7,8.3,2970,20,13,93.2,147,41.1,47,7,58,36,250
