Team,Rsh TD,Rec TD,Tot TD,2-PT
Chiefs,31,27,61,0
Chargers,24,29,55,0
Falcons,20,15,40,0
Giants,18,12,32,0
Seahawks,17,23,43,0
Texans,16,16,34,1
Steelers,16,20,39,0
Bills,15,21,46,0
Patriots,15,29,46,1
Saints,15,21,39,0
Jets,15,19,37,0
Cardinals,15,14,30,1
Bengals,14,23,41,0
Cowboys,14,19,33,0
Broncos,13,27,42,0
Titans,12,27,40,1
Ravens,11,13,32,0
Rams,11,23,34,3
Panthers,10,29,41,0
Bears,10,9,25,1
Colts,10,51,65,1
Raiders,10,24,35,0
Dolphins,10,19,30,0
Eagles,10,32,44,0
49ers,10,16,27,1
Packers,9,36,47,0
Jaguars,9,17,26,0
Buccaneers,9,24,35,0
Vikings,8,39,49,1
Lions,7,19,32,0
Browns,6,21,29,0
Redskins,6,18,26,0
