Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Dolphins,10.5,41,432,0,0,0,47,21,0
Redskins,9.5,45,427,0,0,0,33,19,0
Browns,9,40,359,0,0,0,74,6,0
Lions,8.4,23,194,0,0,0,38,9,0
Colts,8.2,43,351,0,0,0,65,34,0
Cowboys,8,31,248,0,0,0,42,14,0
Bills,7.8,44,343,2,0,0,68,11,0
Broncos,7.8,41,320,0,0,0,28,4,0
Cardinals,7.8,30,234,0,0,0,34,16,0
Steelers,7.5,35,264,1,0,0,67T,18,0
Bears,7.3,36,262,0,0,0,43,9,0
Eagles,7.2,24,172,0,0,0,50,16,0
49ers,6.9,39,268,0,0,0,38,12,0
Giants,6.4,19,122,0,0,0,15,24,0
Raiders,6.3,29,182,0,0,0,34,10,0
Saints,6.2,16,100,0,0,0,14,16,0
Jets,6.2,25,155,0,0,0,19,14,0
Oilers,6.2,32,198,0,0,0,31,21,0
Vikings,6.1,27,164,0,0,0,36,30,0
Patriots,5.8,31,181,0,0,0,50,17,0
Chargers,5.8,37,215,0,0,0,19,13,0
Bengals,5.8,25,145,0,0,0,47,29,0
Rams,4.9,35,172,0,0,0,28,20,0
Falcons,4.7,37,174,0,0,0,32,8,0
Packers,4.7,38,177,0,0,0,30,5,0
Chiefs,4.6,33,150,0,0,0,23,20,0
