Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Redskins,29,59.2,27,100,0,0
Dolphins,28,70,33,100,1,0
Chiefs,26,57.8,32,100,0,0
Broncos,25,65.8,18,100,0,0
49ers,23,63.9,32,100,0,0
Lions,22,59.5,39,100,2,0
Vikings,22,68.8,25,100,0,0
Cardinals,21,65.6,24,100,1,0
Bengals,20,55.6,31,100,0,0
Colts,20,69,35,97.2,0,0
Cowboys,18,54.6,50,100,2,0
Rams,18,62.1,37,100,1,0
Eagles,18,48.6,23,95.8,0,0
Oilers,17,60.7,26,89.7,0,0
Saints,17,60.7,29,93.6,0,0
Steelers,17,63,27,100,0,1
Chargers,17,58.6,36,97.3,0,0
Bears,15,45.4,18,100,0,0
Browns,15,53.6,34,100,0,0
Raiders,15,68.2,41,97.6,0,0
Packers,14,53.8,32,97,1,0
Falcons,13,61.9,29,87.9,0,0
Bills,12,48,20,95.2,0,2
Patriots,12,57.1,28,100,0,0
Jets,8,42.1,25,96.2,0,0
Giants,6,35.3,30,100,1,0
