Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Cowboys,27.5,50,1376,2,0,0,101T,0,0
Packers,26.7,58,1546,1,0,0,90T,0,0
Dolphins,25.2,32,806,1,0,0,94T,0,0
Falcons,25,59,1477,0,0,0,82,0,0
Rams,24.5,54,1322,1,0,0,105T,0,0
Lions,24.2,51,1233,2,0,0,102T,0,0
Eagles,24.1,49,1183,0,0,0,52,0,0
Oilers,23.9,59,1409,0,0,0,45,0,0
Cardinals,23.5,58,1363,1,0,0,103T,0,0
Vikings,23.4,41,960,0,0,0,47,0,0
49ers,23.4,46,1075,0,0,0,74,0,0
Browns,23.2,46,1065,0,0,0,52,0,0
Steelers,22.9,49,1120,0,0,0,77,0,0
Raiders,22.8,54,1234,0,0,0,44,0,0
Bills,22.6,74,1673,0,0,0,44,0,0
Giants,22.5,63,1416,1,0,0,93T,0,0
Bears,22.5,59,1325,0,0,0,41,0,0
Chiefs,21.9,47,1031,0,0,0,41,0,0
Broncos,21.8,44,960,0,0,0,48,0,0
Jets,21.2,55,1168,0,0,0,41,0,0
Redskins,21.2,43,913,0,0,0,48,0,0
Colts,21.2,32,679,0,0,0,54,0,0
Patriots,21.2,64,1354,0,0,0,45,0,0
Saints,20.4,56,1143,0,0,0,51,0,0
Chargers,20.4,49,1000,0,0,0,71,0,0
Bengals,20.1,43,863,0,0,0,37,0,0
