Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Jets,13,25,324,1,3,3,78,28,3
Bears,12.4,33,411,0,7,2,44T,21,4
Chiefs,11.9,22,261,1,3,2,91,3,1
Raiders,11.6,25,291,1,2,2,99,19,2
Ravens,11.5,35,404,1,5,3,70,29,4
Vikings,10.9,29,315,0,6,1,70,21,1
Bengals,10.7,22,236,0,3,0,38T,21,2
Chargers,10.5,34,358,1,6,2,73,15,4
Dolphins,10.5,28,293,1,3,1,71,16,4
Rams,10.2,30,307,0,4,1,60,15,2
Jaguars,9.8,34,334,1,6,2,74,16,2
Browns,9.1,32,290,0,3,0,37T,24,2
Colts,9,24,217,0,3,1,51,28,1
Titans,8.8,27,237,0,2,0,38T,11,4
Texans,8.6,38,327,0,3,0,30T,16,3
Cardinals,8.2,36,295,0,3,2,45T,21,1
Steelers,8.1,31,252,0,3,0,23,26,3
Patriots,7.6,26,199,0,3,0,25,15,2
Falcons,7,21,147,0,0,0,18,24,1
Panthers,6.9,24,165,0,1,0,30T,16,2
Bills,6.7,31,207,0,2,0,31T,17,4
Packers,6.6,30,198,0,2,0,24,19,8
Eagles,6.6,33,216,0,2,1,42,11,5
Saints,6.5,24,157,0,0,0,17,18,2
Redskins,6.5,17,110,0,1,0,30T,23,2
Lions,6.3,27,171,0,1,0,25,20,2
Buccaneers,6.3,26,163,0,0,0,16T,15,2
Giants,6.2,37,231,0,2,0,23T,13,4
49ers,5.8,31,180,0,1,0,23T,18,5
Seahawks,5.7,25,143,0,0,0,19T,20,1
Cowboys,5.7,21,119,0,1,0,22T,25,0
Broncos,4.4,30,132,0,1,0,20T,17,0
