Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Titans,32,23,737,1,20,2,94,0,0
Patriots,27,28,755,1,21,2,95,0,1
Jets,26.9,46,1238,1,30,7,99,1,2
49ers,26.2,36,944,1,25,3,97,0,2
Bengals,24.9,43,1071,0,27,5,77T,0,0
Vikings,24.6,22,540,0,17,1,46T,0,0
Chiefs,24.4,40,975,0,24,3,97T,0,2
Giants,24.4,45,1097,0,34,3,51T,0,1
Texans,24.4,20,487,0,13,0,36T,0,1
Saints,24.4,23,560,0,17,2,50T,0,0
Lions,24.1,20,482,0,16,1,45T,0,1
Dolphins,24,39,938,1,25,1,102,0,0
Chargers,23.3,28,653,0,19,1,40T,0,0
Seahawks,23.1,29,669,0,16,2,84T,0,0
Raiders,22.9,29,663,0,21,0,34T,0,1
Panthers,22.4,26,582,0,17,0,37T,0,1
Falcons,22.2,31,689,0,18,3,53T,0,0
Ravens,22.1,32,707,0,21,0,39T,0,0
Eagles,22,33,725,0,22,1,48T,0,0
Cowboys,21.8,13,283,0,9,0,35T,0,0
Packers,21.5,30,644,0,22,0,38T,0,2
Cardinals,21.4,25,536,0,12,0,36T,0,0
Rams,21.4,39,834,0,23,1,40,0,0
Bills,21.2,38,807,0,23,1,49,0,1
Jaguars,20.5,26,532,0,15,2,47T,0,0
Buccaneers,20.4,31,631,0,16,0,38T,0,0
Broncos,20.1,30,604,0,17,0,35T,0,2
Browns,20.1,44,884,0,25,0,35T,1,0
Colts,19.8,17,337,0,9,0,29T,0,0
Redskins,19.7,29,570,0,13,1,44,0,0
Steelers,19.3,32,619,0,19,0,35,0,0
Bears,19.1,23,440,0,10,0,31T,0,0
