Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
49ers,361,3760,10.4,18,0,0,50T,200,55.4,0
Chargers,338,4138,12.2,24,0,0,65,192,56.8,0
Vikings,315,3397,10.8,23,0,0,55,168,53.3,0
Colts,313,3575,11.4,18,0,0,67,158,50.5,0
Raiders,311,3704,11.9,27,0,0,66,191,61.4,0
Seahawks,292,3791,13,20,0,0,65,171,58.6,0
Browns,289,3838,13.3,28,0,0,74T,189,65.4,0
Cowboys,287,3883,13.5,29,0,0,75,195,67.9,0
Steelers,272,3877,14.2,26,0,0,65,179,65.8,0
Broncos,260,3433,13.2,18,0,0,64,149,57.3,0
Saints,257,3291,12.8,16,0,0,85T,135,52.5,0
Falcons,251,3127,12.5,19,0,0,57T,150,59.8,0
Cardinals,248,2870,11.6,12,0,0,78,136,54.8,0
Rams,242,3032,12.5,19,0,0,71,138,57,0
Bills,241,3603,15,14,0,0,84,147,61,0
Packers,240,3057,12.7,15,0,0,78,133,55.4,0
Patriots,237,3600,15.2,30,0,0,63,159,67.1,0
Dolphins,235,3018,12.8,20,0,0,53,140,59.6,0
Redskins,235,2839,12.1,20,0,0,62,144,61.3,0
Bengals,228,2821,12.4,17,0,0,73,131,57.5,0
Lions,218,2775,12.7,14,0,0,82T,131,60.1,0
Eagles,209,2882,13.8,21,0,0,53T,150,71.8,0
Bears,195,2429,12.5,16,0,0,68,98,50.3,0
Oilers,195,2494,12.8,17,0,0,55,100,51.3,0
Chiefs,190,1953,10.3,7,0,0,40T,91,47.9,0
Giants,190,2419,12.7,15,0,0,61,111,58.4,0
Jets,190,2864,15.1,16,0,0,72,126,66.3,0
Buccaneers,183,2700,14.8,19,0,0,66,137,74.9,0
