Team,Rsh TD,Rec TD,Tot TD,2-PT
Saints,28,16,46,0
Steelers,25,26,52,0
Chargers,25,24,51,0
Oilers,24,17,42,0
Cardinals,24,12,38,0
Seahawks,24,20,45,0
Bengals,23,17,41,0
Jets,23,16,42,0
Dolphins,19,20,40,0
Chiefs,18,7,29,0
Bears,17,16,37,0
Eagles,17,21,39,0
49ers,17,18,36,0
Redskins,17,20,38,0
Browns,16,28,45,0
Rams,16,19,40,0
Patriots,16,30,49,0
Falcons,15,19,37,0
Cowboys,15,29,44,0
Packers,14,15,30,0
Broncos,13,18,33,0
Raiders,13,27,44,0
Buccaneers,13,19,33,0
Colts,12,18,33,0
Giants,12,15,29,0
Bills,11,14,29,0
Lions,11,14,26,0
Vikings,9,23,32,0
