Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Texans,17,94.4,12,100,1,0
Cowboys,16,100,12,92.3,0,0
Titans,16,100,8,100,0,0
Rams,16,80,12,100,0,0
Eagles,16,88.9,13,92.9,0,0
Jets,15,93.8,6,100,0,1
Chiefs,14,100,15,100,0,0
Saints,13,81.2,10,100,0,1
Browns,12,85.7,5,100,0,0
Jaguars,12,85.7,14,100,0,0
Cardinals,12,92.3,7,87.5,0,0
Ravens,11,84.6,12,92.3,0,0
Colts,11,91.7,13,100,0,0
Seahawks,11,73.3,11,100,0,0
Falcons,10,90.9,7,87.5,0,0
Bears,10,100,12,100,0,0
Bengals,10,83.3,10,100,0,1
Giants,10,76.9,5,100,0,0
Steelers,10,100,5,100,0,0
49ers,10,83.3,22,100,0,0
Bills,9,81.8,20,100,0,0
Panthers,9,81.8,11,100,0,0
Raiders,9,81.8,9,100,0,0
Buccaneers,9,90,7,100,0,0
Commanders,9,75,12,100,0,0
Broncos,8,88.9,11,91.7,1,0
Lions,7,87.5,21,100,0,0
Packers,7,100,10,100,0,0
Chargers,7,87.5,14,100,0,0
Vikings,6,85.7,15,93.8,0,0
Dolphins,5,71.4,28,96.6,0,0
Patriots,5,55.6,7,100,0,0
