Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Texans,17,18,94.4,0_0,6_6,9_9,2_2,1_0,0_0,43,0
Cowboys,16,16,100,0_0,7_7,6_6,1_1,2_2,0_0,55,0
Titans,16,16,100,0_0,5_5,5_5,3_3,3_3,0_0,53,0
Rams,16,20,80,0_0,3_3,4_4,8_6,5_3,0_0,54,1
Eagles,16,18,88.9,0_0,4_4,6_5,3_3,4_3,1_1,61,0
Jets,15,16,93.8,0_0,4_4,6_6,4_4,2_1,0_0,52,0
Chiefs,14,14,100,0_0,2_2,8_8,2_2,1_1,1_1,60,0
Saints,13,16,81.2,0_0,5_4,3_3,4_3,4_3,0_0,54,0
Browns,12,14,85.7,0_0,1_1,1_1,8_6,4_4,0_0,55,0
Jaguars,12,14,85.7,0_0,1_1,3_3,7_6,3_2,0_0,56,1
Cardinals,12,13,92.3,0_0,2_2,5_5,2_2,3_2,1_1,62,0
Ravens,11,13,84.6,0_0,5_5,2_2,3_3,2_1,1_0,50,0
Colts,11,12,91.7,0_0,2_2,2_2,3_2,5_5,0_0,56,0
Seahawks,11,15,73.3,0_0,2_2,7_6,3_2,3_1,0_0,55,0
Falcons,10,11,90.9,0_0,3_3,4_4,4_3,0_0,0_0,49,0
Bears,10,10,100,0_0,4_4,2_2,2_2,2_2,0_0,53,0
Bengals,10,12,83.3,0_0,2_2,0_0,5_5,5_3,0_0,54,0
Giants,10,13,76.9,0_0,2_2,3_2,4_3,4_3,0_0,57,1
Steelers,10,10,100,0_0,2_2,1_1,4_4,3_3,0_0,57,0
49ers,10,12,83.3,0_0,5_5,2_2,3_2,2_1,0_0,57,0
Bills,9,11,81.8,0_0,1_1,4_4,1_1,5_3,0_0,54,0
Panthers,9,11,81.8,0_0,1_1,2_2,4_3,4_3,0_0,56,0
Raiders,9,11,81.8,0_0,6_6,2_2,1_1,2_0,0_0,47,1
Buccaneers,9,10,90,0_0,3_3,4_4,1_0,2_2,0_0,57,1
Commanders,9,12,75,0_0,1_1,4_4,4_2,3_2,0_0,51,0
Broncos,8,9,88.9,0_0,4_4,3_3,0_0,2_1,0_0,51,0
Lions,7,8,87.5,0_0,1_1,6_6,0_0,1_0,0_0,38,0
Packers,7,7,100,0_0,1_1,4_4,0_0,2_2,0_0,52,0
Chargers,7,8,87.5,0_0,3_3,3_3,0_0,2_1,0_0,50,0
Vikings,6,7,85.7,0_0,3_3,0_0,1_1,3_2,0_0,53,0
Dolphins,5,7,71.4,0_0,2_2,0_0,4_3,1_0,0_0,45,1
Patriots,5,9,55.6,0_0,1_1,0_0,5_3,3_1,0_0,51,0
