Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,20,5,100,0,2,1,45,4,1
Saints,18.3,9,165,1,2,1,76T,12,0
Bengals,15.8,14,221,1,3,1,81T,3,1
Ravens,15.2,13,198,0,3,1,70,10,0
Seahawks,14.5,8,116,0,2,0,23,6,0
Commanders,14.2,8,114,0,2,1,61,5,0
Eagles,13.9,14,195,0,4,1,52,6,1
Jets,13.7,10,137,1,1,1,65T,7,2
Chargers,12.2,10,122,0,2,0,26,2,1
Colts,11,9,99,0,1,0,32,9,0
Packers,10.4,9,94,0,2,0,35,4,1
49ers,10.1,15,152,0,0,0,19,6,0
Jaguars,10.1,9,91,0,1,1,48,8,0
Lions,9.6,11,106,0,0,0,17,10,0
Bears,8.8,6,53,0,0,0,12,7,0
Titans,8.6,14,121,0,1,0,21,4,1
Texans,8.6,9,77,0,0,0,14,9,1
Dolphins,8.1,7,57,0,0,0,18,12,0
Cardinals,8.1,10,81,0,0,0,19,5,0
Raiders,8,8,64,0,0,0,16,3,1
Browns,7.2,13,94,0,0,0,13,8,1
Bills,7.2,6,43,0,1,0,23,12,1
Cowboys,6.9,8,55,0,0,0,15,11,1
Rams,6.6,10,66,0,1,0,29,6,1
Panthers,6.5,13,85,0,0,0,15,4,0
Patriots,6.5,13,85,0,1,0,21,9,2
Vikings,6.2,13,81,0,1,0,20,5,1
Buccaneers,6.1,7,43,0,0,0,16,6,1
Chiefs,6.1,14,85,0,1,0,23,6,3
Steelers,5.4,7,38,0,0,0,14,4,1
Falcons,5.1,11,56,0,0,0,16,10,0
Giants,4.7,6,28,0,0,0,14,5,1
