Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,48.1,962,20,51,70,1021,11,2,2,1,8,7,39,0,0
Seahawks,46.8,748,16,50.6,73,810,7,2,4,2,1,7,22,0,0
Giants,45.3,1133,25,48.7,64,1218,9,0,3,1,13,8,65,0,0
Jaguars,45,1080,24,48.8,62,1170,14,4,2,2,7,9,50,0,0
Cowboys,44.7,850,19,51.5,57,978,6,0,2,1,5,11,108,0,0
Vikings,44.4,932,21,51.3,63,1078,3,3,2,3,3,10,86,0,0
Jets,44.4,1287,29,47.9,58,1389,12,3,2,2,12,10,62,0,0
Panthers,44.2,1193,27,47.5,69,1283,10,1,5,1,10,10,70,0,0
Chiefs,44,792,18,48.7,62,877,8,1,4,1,5,7,65,0,0
Buccaneers,43.6,1046,24,53.5,74,1283,12,3,2,3,4,12,177,0,0
49ers,43.6,915,21,47.9,67,1005,12,2,4,1,5,9,70,0,0
Browns,42.5,1148,27,48.1,69,1299,10,7,2,2,6,10,111,0,0
Dolphins,42.5,595,14,45.1,60,631,2,2,1,0,6,5,36,0,0
Falcons,42.4,1144,27,47.7,62,1288,10,5,2,1,9,10,124,0,0
Lions,41.5,913,22,45.3,62,997,11,1,3,1,8,9,64,0,0
Titans,41.2,948,23,51.6,74,1186,9,5,0,3,2,13,178,0,0
Rams,41.2,823,20,49.2,72,983,7,3,0,1,6,10,140,0,0
Broncos,41.1,945,23,44.2,61,1016,7,2,3,0,7,11,71,0,0
Bills,40.5,648,16,46.4,70,743,6,2,1,1,5,7,75,1,0
Steelers,40,1200,30,46.4,63,1392,11,4,4,4,6,12,112,0,0
Commanders,39.9,998,25,46.4,66,1160,8,0,4,0,6,15,162,0,0
Saints,39.8,1235,31,43.2,55,1339,11,5,3,2,8,13,64,0,0
Ravens,39.8,1113,28,47.5,67,1329,13,3,3,1,9,12,196,1,1
Bengals,39.5,1263,32,44.2,62,1416,6,4,1,2,12,13,113,0,0
Colts,39.3,983,25,45.6,54,1139,8,3,5,0,3,14,156,0,0
Texans,39.3,982,25,42.4,63,1061,7,4,4,3,10,4,19,0,0
Patriots,39.2,1292,33,44.1,65,1456,16,6,1,1,11,14,144,0,0
Cardinals,39,779,20,47.2,62,945,3,1,1,1,3,14,146,0,0
Eagles,38.8,582,15,42.4,54,636,6,0,3,0,6,6,54,0,0
Chargers,38.4,807,21,40.7,62,854,6,1,4,1,10,5,27,0,0
Bears,38.2,879,23,46.5,58,1070,6,2,4,1,3,13,171,0,0
Packers,38.1,839,22,47.4,68,1044,4,0,1,3,9,9,145,1,0
