Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Dolphins,39,2561,33,84.6,6,35.8,0,0,0,1
49ers,37,2340,23,62.2,12,20.8,0,0,2,0
Bills,36,2253,23,63.9,12,19.9,1,0,1,0
Cowboys,36,2344,35,97.2,1,28,0,0,0,0
Lions,34,2192,18,52.9,16,21.2,0,0,0,0
Colts,33,2107,24,72.7,6,23.7,0,0,0,0
Chiefs,33,2161,32,97,1,22,0,0,0,0
Rams,33,2070,30,90.9,2,25,1,0,0,0
Eagles,33,2147,30,90.9,3,30.3,0,0,0,0
Texans,32,2068,20,62.5,10,21.3,0,0,0,0
Jaguars,32,2051,25,78.1,4,33,0,0,0,1
Ravens,31,2002,28,90.3,2,21.5,0,0,0,0
Bears,30,1901,26,86.7,3,18.3,1,0,0,0
Jets,30,1935,27,90,2,5.5,0,0,0,0
Broncos,29,1788,26,89.7,1,20,2,0,0,0
Titans,29,1809,16,55.2,11,22.3,1,0,0,0
Saints,29,1896,25,86.2,4,21,0,0,0,0
Cardinals,29,1891,26,89.7,2,19.5,0,0,0,0
Vikings,28,1771,21,75,6,26.2,1,0,0,0
Seahawks,28,1800,22,78.6,4,22.8,0,0,0,0
Commanders,27,1755,27,100,0,0,0,0,0,0
Panthers,26,1461,15,57.7,7,25.6,4,0,0,0
Chargers,26,1692,24,92.3,2,30.5,0,0,0,0
Falcons,25,1626,21,84,3,22.7,0,0,0,0
Bengals,25,1601,21,84,3,17.7,0,0,0,0
Browns,25,1598,16,64,8,19.4,0,0,0,0
Raiders,25,1644,20,80,5,26.8,0,0,0,0
Packers,24,1508,14,58.3,9,21.3,1,0,0,0
Buccaneers,23,1464,15,65.2,7,19.9,0,0,0,0
Giants,22,1428,19,86.4,3,24.7,0,0,0,0
Steelers,22,1434,21,95.4,1,35,0,0,0,0
Patriots,20,1228,15,75,4,21,1,0,0,0
