Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Saints,13.6,38,517,2,6,2,83T,21,0
Browns,13.4,42,563,3,4,3,91,12,1
Chargers,12.1,34,412,0,7,1,54,17,4
49ers,11.7,35,411,1,5,1,72T,20,4
Dolphins,11.6,28,326,2,3,2,72T,22,3
Raiders,11.6,40,465,1,3,1,74T,20,0
Broncos,10.4,41,425,0,4,1,54,11,6
Giants,10.3,32,331,1,2,1,75T,20,0
Cowboys,10.3,37,381,2,3,2,64T,14,6
Chiefs,9.4,37,348,0,7,0,30,7,4
Patriots,9.1,51,462,0,3,0,30,14,2
Packers,9,45,404,0,7,0,39,12,5
Lions,8.7,40,349,0,4,1,53,18,2
Eagles,8.6,33,284,0,2,0,25,20,2
Seahawks,8.5,33,280,0,2,0,33,15,0
Bills,8.4,33,277,1,2,1,47T,7,2
Bears,8.3,35,289,0,3,0,28,20,1
Jets,8.3,31,256,0,1,0,20,12,5
Buccaneers,8.2,38,311,0,3,0,35,15,6
Cardinals,8.2,47,384,1,3,1,58T,11,3
Falcons,7.9,35,276,0,2,1,51,18,3
Steelers,7.5,47,353,0,2,0,39,12,3
Vikings,7.2,39,280,0,2,1,50,23,1
Redskins,7,35,245,0,2,1,48,8,4
Oilers,6.7,41,275,0,0,0,18,19,1
Bengals,6.7,48,321,0,3,0,36,8,3
Colts,5.8,30,173,0,1,0,24,17,2
Rams,5.4,19,102,0,0,0,13,15,0
