Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,353,113.5,232,46.9,1100
Bills,0,0,0,0,315,124.5,253,48.3,1043
Bears,0,0,0,0,243,109.5,242,39.8,1131
Bengals,0,0,0,0,417,125.6,240,48.7,1076
Browns,0,0,0,0,385,110.6,261,55.1,1138
Cowboys,0,0,0,0,317,131.5,265,42.1,1100
Broncos,0,0,0,0,356,123.2,182,35.3,1062
Lions,0,0,0,0,265,116.2,333,55.9,1076
Packers,0,0,0,0,313,109.4,208,43.5,1042
Oilers,0,0,0,0,242,93.8,206,44.2,949
Colts,0,0,0,0,319,120.4,184,41.7,956
Chiefs,0,0,0,0,228,101.8,307,50.3,1058
Rams,0,0,0,0,260,110.6,284,50.8,1092
Raiders,0,0,0,0,293,109.7,216,43.8,1091
Dolphins,0,0,0,0,293,108.1,236,44.1,1063
Vikings,0,0,0,0,342,89.5,182,46.6,1129
Patriots,0,0,0,0,335,131.9,248,49.7,1025
Saints,0,0,0,0,227,95.4,240,44,1028
Giants,0,0,0,0,233,92.8,185,38.5,1032
Jets,0,0,0,0,322,113.8,227,39.8,1107
Eagles,0,0,0,0,302,117,313,56,1051
Cardinals,0,0,0,0,261,103.2,270,52,1044
Steelers,0,0,0,0,297,120.2,275,49.6,1041
Chargers,0,0,0,0,420,114.1,245,50.9,1129
49ers,0,0,0,0,354,107.9,221,39.5,1106
Seahawks,0,0,0,0,320,104.2,204,46.4,1002
Buccaneers,0,0,0,0,291,121.8,192,41.9,950
Redskins,0,0,0,0,342,111.4,272,51.1,1085
