Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Vikings,709,382,53.9,6.4,4567,27,29,69.5,435,61.4,54,13,63,29,234
Chargers,629,368,58.5,7.8,4873,34,18,89.2,449,71.4,74,11,67,19,134
Browns,624,348,55.8,7,4339,21,27,70.7,393,63,63,8,62,40,353
Falcons,563,311,55.2,7.1,3986,30,24,77.6,353,62.7,61,10,70T,37,287
Bengals,550,332,60.4,7.6,4200,30,12,93.3,417,75.8,53,10,74T,35,205
Raiders,545,267,49,6.2,3356,18,28,58.2,333,61.1,42,6,66T,53,437
Redskins,525,307,58.5,7.1,3743,19,22,75.1,347,66.1,54,6,79T,30,277
Seahawks,524,307,58.6,7.1,3727,21,15,82,333,63.6,48,8,80,37,300
49ers,517,328,63.4,7.3,3766,20,13,87.7,366,70.8,52,10,78,29,223
Packers,514,286,55.6,7,3576,24,24,73.6,349,67.9,58,7,75,52,387
Jets,507,283,55.8,6.5,3279,26,14,81.1,339,66.9,33,6,49,30,224
Giants,506,251,49.6,6,3009,16,20,62.3,279,55.1,43,4,80,47,368
Bills,503,253,50.3,7.3,3661,25,20,74.3,327,65,59,8,67,16,146
Dolphins,498,271,54.4,6.8,3385,18,21,70.2,325,65.3,48,14,69T,30,236
Bears,489,222,45.4,5.6,2728,14,23,53.1,254,51.9,33,6,85,35,266
Broncos,485,289,59.6,8.2,3992,27,21,86.6,362,74.6,56,10,95T,61,461
Patriots,482,254,52.7,8.1,3904,17,34,62.1,335,69.5,65,13,76,45,321
Colts,479,265,55.3,7,3379,21,23,72.2,319,66.6,49,7,67T,37,321
Rams,477,235,49.3,6.3,3008,15,32,51.9,268,56.2,43,7,67,50,451
Cardinals,477,253,53,6.8,3269,15,24,64.4,281,58.9,45,7,75T,48,405
Eagles,476,258,54.2,6.8,3249,25,22,73.9,302,63.4,52,5,85,22,205
Buccaneers,473,239,50.5,7.5,3565,20,14,77.4,319,67.4,46,13,84,19,136
Steelers,461,247,53.6,7.5,3457,25,19,78.9,311,67.5,59,8,90T,27,231
Oilers,441,258,58.5,7.1,3119,21,23,74.4,250,56.7,47,10,71,40,342
Saints,441,238,54,6.3,2778,8,27,53.8,247,56,35,5,55T,41,359
Cowboys,439,241,54.9,7.8,3414,24,15,84.2,317,72.2,55,10,73T,31,245
Lions,436,228,52.3,8,3475,18,23,70.6,301,69,53,13,94T,44,337
Chiefs,410,224,54.6,7.1,2917,12,22,64.6,264,64.4,39,10,64T,37,277
