Team,Rsh TD,Rec TD,Tot TD,2-PT
Lions,26,18,46,0
Chargers,26,34,61,0
Patriots,23,17,40,0
Chiefs,22,12,35,0
Steelers,21,25,47,0
Cardinals,20,15,37,0
Bengals,19,30,50,0
Redskins,19,19,42,0
Dolphins,18,18,38,0
Rams,17,15,35,0
Eagles,17,25,42,0
49ers,17,20,42,0
Saints,16,8,24,0
Falcons,15,30,49,0
Cowboys,15,24,39,0
Seahawks,14,21,38,0
Bills,13,25,38,0
Bears,13,14,31,0
Buccaneers,13,20,37,0
Broncos,12,27,39,0
Browns,11,21,32,0
Packers,11,24,37,0
Oilers,11,21,34,0
Colts,11,21,33,0
Raiders,11,18,31,0
Giants,11,16,29,0
Jets,11,26,40,0
Vikings,8,27,36,0
