Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Chiefs,39.2,2824,72,44.1,72,3178,24,5,11,5,19,32,254,0,0
Bills,39.2,3607,92,43.6,66,4012,33,19,10,7,20,36,265,0,0
Panthers,39.2,3878,99,45.5,70,4508,31,2,7,12,17,61,390,1,1
Cowboys,38.6,2163,56,48.2,75,2697,22,3,0,10,12,31,334,0,0
Bengals,38.6,2972,77,44.5,67,3428,26,4,11,11,9,42,236,0,0
Rams,38.4,2876,75,43,74,3223,29,6,15,5,22,27,247,1,1
Chargers,38.2,2637,69,41.9,71,2893,35,4,17,2,19,27,216,0,0
Lions,38.2,2520,66,45,67,2967,18,5,5,9,9,38,267,1,0
Jets,38.2,2786,73,44,69,3211,27,8,11,11,15,28,205,0,1
Browns,37.9,3149,83,43.6,61,3621,29,10,11,8,11,43,312,0,0
Bears,37.6,2897,77,44.2,65,3404,24,10,8,7,14,38,367,0,0
Ravens,37.6,3231,86,43,61,3695,30,7,16,3,16,44,404,0,0
Saints,37.5,2890,77,43.8,59,3369,19,3,7,10,17,40,279,0,0
Titans,37.3,3282,88,42.7,73,3760,32,7,14,10,24,33,278,0,0
Redskins,37.2,3012,81,42.8,60,3471,27,3,14,7,12,45,319,0,1
Seahawks,37,3184,86,44.5,72,3827,26,10,10,15,12,39,343,0,0
Giants,37,2847,77,40.2,54,3098,27,21,7,3,13,33,191,0,0
Raiders,36.9,2843,77,47.5,67,3660,19,4,10,19,10,34,437,0,1
Falcons,36.8,2800,76,42.1,65,3199,25,18,6,6,21,25,279,0,2
49ers,36.8,2983,81,44.8,66,3625,22,9,9,9,19,35,462,1,0
Buccaneers,36.8,3418,93,43.5,59,4045,20,9,11,7,16,50,487,1,0
Steelers,36.7,2388,65,41.3,56,2687,11,2,11,4,10,38,219,0,0
Texans,36.7,2786,76,41.6,62,3161,15,0,11,5,24,36,275,1,0
Broncos,36.6,2930,80,41.7,61,3338,23,4,14,7,16,39,268,0,0
Dolphins,36.2,3073,85,42.8,64,3640,28,5,11,10,10,49,367,0,1
Packers,35.7,2996,84,44.5,66,3739,17,5,8,12,4,55,503,1,0
Cardinals,35.5,2343,66,44.9,58,2965,18,5,8,3,6,44,562,1,2
Vikings,35.5,3336,94,42.1,68,3961,29,8,8,7,21,50,485,1,0
Colts,35.3,1658,47,44.4,61,2085,14,3,5,5,9,25,327,1,1
Eagles,35,2726,78,42.6,60,3326,21,3,10,11,13,41,380,1,0
Patriots,34.6,2385,69,41.3,62,2847,19,9,9,7,15,29,322,2,0
Jaguars,33.8,2437,72,40.6,58,2920,20,13,7,7,16,29,343,2,1
