Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Patriots,26.8,58,1553,1,41,5,93T,0,0
Raiders,24.8,73,1811,0,56,3,50,0,0
Chargers,24.6,55,1350,0,39,8,91,1,2
49ers,24.1,79,1907,0,57,4,64,0,2
Jets,24.1,60,1445,2,36,8,103,0,1
Bills,23.9,63,1503,0,40,6,88,0,2
Colts,23.6,58,1368,0,36,5,70,0,2
Cowboys,23.3,64,1493,0,45,1,41,0,3
Bears,23.3,59,1373,2,35,3,96T,0,4
Ravens,23.2,45,1046,0,30,2,72,0,0
Titans,23.2,79,1835,0,51,4,70,0,2
Jaguars,23.2,49,1136,1,29,5,93T,0,0
Browns,23,71,1635,1,40,7,92T,0,1
Saints,23,60,1377,0,34,4,51,0,2
Falcons,22.7,68,1542,0,47,3,51,0,2
Texans,22.7,71,1609,0,43,3,87,0,3
Vikings,22.6,66,1492,0,42,3,65T,1,1
Seahawks,22.4,69,1548,0,45,3,50,0,0
Redskins,22.3,73,1631,1,48,2,100,1,0
Lions,22.3,74,1648,0,45,4,65,0,0
Steelers,22.1,55,1214,0,36,3,76,0,3
Cardinals,22,73,1610,1,39,3,99T,0,2
Broncos,22,54,1187,0,35,3,64,0,2
Chiefs,21.9,64,1404,0,40,4,60,0,1
Buccaneers,21.4,61,1307,0,36,1,44T,0,1
Rams,21.3,65,1383,0,41,2,40,0,2
Dolphins,21.2,52,1102,0,29,2,46,2,0
Eagles,20.8,58,1204,0,26,2,64,0,4
Bengals,20.5,59,1209,0,31,0,38,1,2
Giants,20.1,70,1407,0,43,1,51,0,1
Packers,19.7,70,1379,0,36,0,35,0,1
Panthers,19.4,62,1200,0,31,0,39,1,2
