Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Dana McLemore,22.3,7,156,1,1,1,93,0,0
Rick Upchurch,16.1,15,242,2,2,2,78,3,0
Kenny Easley,15,1,15,0,0,0,15,2,0
Doug Donley,14,1,14,0,0,0,14,0,0
James Brooks,11.5,12,138,0,4,0,29,4,2
Billy Johnson,11.4,24,273,0,3,1,71,4,1
Paul Johns,11,19,210,0,4,0,37,10,1
LeRoy Irvin,11,22,242,1,2,2,63,1,4
Rick Woods,10.9,13,142,0,1,0,20,2,2
Robbie Martin,10.6,26,275,0,1,1,58,5,1
Gerald Willhite,10.5,6,63,0,1,0,23,4,0
Rod Hill,9.8,4,39,0,1,0,26,0,1
Tommy Vigorito,9.6,20,192,1,2,1,59,5,2
Freddie Solomon,9.4,13,122,0,2,0,27,1,1
Greg Williams,9,1,9,0,0,0,9,0,0
Leon Bright,8.8,37,325,0,4,0,33,0,0
Ricky Smith,8.7,16,139,0,0,0,19,8,2
J.T. Smith,8.7,3,26,0,0,0,16,1,0
Anthony Hancock,8.6,12,103,0,1,0,30,5,1
Rufus Bess,8.5,2,17,0,0,0,11,0,0
Dino Hall,8.2,4,33,0,0,0,10,0,0
Eddie Payton,8.1,22,179,0,2,0,35,5,2
Johnnie Gray,8,6,48,0,0,0,15,1,0
Bruce Harper,8,23,184,0,3,0,24,5,1
Beasley Reece,8,1,8,0,0,0,8,0,0
Mike Nelms,7.9,32,252,0,1,0,28,0,0
Willie Sydnor,7.8,22,172,0,2,0,21,3,0
Greg Pruitt,7.7,27,209,0,2,0,25,7,4
Jeff Fisher,7.6,7,53,0,0,0,17,6,1
Ron Fellows,7.6,25,189,0,0,0,17,0,3
Phil Epps,7.5,20,150,0,1,0,35,5,1
Theo Bell,6.9,9,62,0,0,0,14,1,0
Jeff Groth,6.9,21,144,0,0,0,18,13,1
Nick Giaquinto,6.8,5,34,0,0,0,12,2,0
Larry Anderson,6.8,8,54,0,1,0,28,3,2
Roy Green,6.7,3,20,0,0,0,11,0,0
Danny Pittman,6.7,6,40,0,0,0,9,3,0
Stump Mitchell,6.1,27,165,0,0,0,15,0,2
Earl Ferrell,6,1,6,0,0,0,6,0,0
Nesby Glasgow,6,4,24,0,0,0,8,5,0
Mike Fuller,5.6,17,95,0,0,0,13,8,2
Mike Mosley,5.6,11,61,0,0,0,16,6,2
Carl Roaches,5.5,19,104,0,1,0,25,4,1
Dwight Hicks,5.4,10,54,0,0,0,13,1,0
Dwight Walker,5.3,19,101,0,0,0,14,6,2
Dennis Gentry,5.2,17,89,0,0,0,16,5,3
Wally Henry,5.2,20,103,0,0,0,11,2,2
John Holt,5.1,16,81,0,1,0,22,0,2
Robert Holt,4.5,10,45,0,1,0,21,0,1
Roland Hooks,3.2,4,13,0,0,0,8,0,0
Gregg Johnson,3,1,3,0,0,0,3,2,0
Mike Merriweather,3,1,3,0,0,0,3,0,0
John Sciarra,2.5,2,5,0,0,0,5,0,0
Glenn Blackwood,1,2,2,0,0,0,2,0,0
Willard Harrell,1,1,1,0,0,0,1,1,0
Matt Bouza,0,2,0,0,0,0,0,5,0
Bill Simpson,0,1,0,0,0,0,0,0,0
