Player,Comb,Asst,Solo,Sck
Lance Mehl,69,13,43,0
Scott Studwell,62,12,40,3
Tom Cousineau,60,17,28,1
George Andrews,58,8,42,3
Randy Gradishar,58,4,48,2
Ronnie Lott,58,11,39,0
Jack Reynolds,57,11,33,0
Michael Jackson,56,12,31,0
Johnnie Johnson,56,4,44,1
Mike Singletary,56,2,49,1
George Cumby,55,5,47,0
Michael Downs,55,12,34,1
Dan Hampton,55,0,52,9
Earnest Rhone,55,4,49,1
Cliff Thrift,55,6,35,0
Bob Breunig,54,14,22,1.5
Nolan Cromwell,54,10,40,0
Woodrow Lowe,54,10,37,2
Eugene Marve,54,2,43,0
Ken Fantetti,53,0,53,0
Linden King,53,11,28,1
Hugh Green,52,2,45,2.3
Jack Lambert,52,14,34,4
Matt Millen,52,6,35,2.5
Steve Nelson,52,4,41,0
Cecil Johnson,51,3,41,0
Everson Walls,51,8,36,0
Jerry Blanton,50,10,34,1
Tom Hannon,50,11,29,0
Gregg Bingham,49,7,31,3
Gary Fencik,49,5,44,0
Pat Thomas,49,6,41,0
Clayton Weishuhn,49,4,44,2
Chip Banks,48,14,25,5.5
Benny Barnes,48,11,27,1
Stan Blinka,48,7,28,0
Charles Baker,47,3,40,0
Matt Blair,47,15,23,1.5
Jim Kovach,47,3,40,2.5
Bruce Scholtz,47,5,28,1
Dave Ahrens,46,6,36,0
Scot Brantley,46,3,38,2
Kenny Easley,46,6,31,2
Lloyd Burruss,45,5,37,0
Buddy Curry,45,7,34,2
Barry Krauss,45,6,32,2
Andy Hawkins,44,7,30,2.3
Daryl Hunt,44,6,30,1
E.J. Junior,44,4,35,1.5
David Logan,44,4,38,4.8
Bill Simpson,44,7,34,1
Len Walterscheid,44,3,39,0
Frank Wattelet,44,6,35,0
Rod Martin,43,7,30,1
John Turner,43,10,28,0
Keena Turner,43,10,25,1
Robert Brazile,42,11,25,6.5
Bob Brudzinski,42,2,39,4.5
Keith Butler,42,10,24,2
Tom Howard,42,5,33,3
Burgess Owens,42,7,24,0
Clarence Scott,42,7,28,0
Kenneth Sims,42,3,32,3
Art Still,42,4,32,4
Carlton Williamson,42,8,26,0
Dick Ambrose,41,9,21,0
Dave Brown,41,6,30,0
A.J. Duhe,41,2,37,2
Larry Evans,41,1,36,0
Gary Spani,41,2,33,0
Hanford Dixon,40,5,26,1
Tom Jackson,40,3,36,1
Dennis Johnson,40,4,22,0
Bruce Laird,40,6,30,0
Neal Olkewicz,40,7,28,3
Don Blackmon,39,5,29,4.5
Kim Bokamper,39,2,33,3.5
Clinton Burrell,39,8,24,2
Rickey Jackson,39,4,33,4.5
Fulton Kuykendall,39,6,27,0
