Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Rolf Benirschke,58,3357,991,6,10.3,51,19.4,0,0,0,0
Chris Bahr,52,2970,838,8,15.4,43,19.5,0,1,0,0
Pat Leahy,50,3046,753,13,26,35,21.5,0,0,0,1
Jan Stenerud,49,2802,855,4,8.2,44,19.4,0,0,0,1
Rafael Septien,47,2890,936,6,12.8,41,22.8,0,0,0,0
Jeff Hayes,46,2614,687,4,8.7,40,17.2,0,0,0,0
Ray Wersching,46,2632,867,5,10.9,40,21.7,0,0,0,0
Jim Breech,45,2556,756,5,11.1,40,18.9,0,0,0,0
Uwe von Schamann,45,2752,704,11,24.4,33,21.3,0,1,0,0
Gary Anderson,43,2739,822,7,16.3,36,22.8,0,0,0,0
Nick Lowery,43,2484,776,2,4.6,41,18.9,0,0,0,0
Mike Lansford,42,2554,844,6,14.3,36,23.4,0,0,0,0
Mick Luckhurst,41,2546,678,11,26.8,30,22.6,0,0,0,0
Tony Franklin,40,2364,878,1,2.5,38,23.1,0,0,0,0
Bill Capece,39,2244,814,0,0,38,21.4,0,0,0,0
Joe Danelo,39,2323,616,5,12.8,34,18.1,0,0,0,0
Rick Danmeier,39,2183,663,1,2.6,38,17.4,0,0,0,0
Rich Karlis,35,2041,541,7,20,26,20.8,0,1,0,0
Eddie Murray,34,1918,576,3,8.8,29,19.9,0,1,0,0
Norm Johnson,33,2038,331,11,33.3,22,15,0,0,0,0
Neil O'Donoghue,32,1842,545,4,12.5,26,21,0,0,0,0
Florian Kempf,31,1673,545,3,9.7,25,21.8,0,0,0,0
Efren Herrera,28,1505,445,1,3.6,25,17.8,0,0,0,0
Morten Andersen,27,1671,357,9,33.3,18,19.8,0,0,0,0
Danny Miller,23,1292,392,2,8.7,20,19.6,0,0,0,0
Bob Thomas,23,1335,386,2,8.7,21,18.4,0,0,0,0
Steve Cox,21,1211,255,6,28.6,13,19.6,0,0,0,0
John Roveto,21,1228,330,3,14.3,18,18.3,0,0,0,0
Mike Wood,18,1117,266,6,33.3,12,22.2,0,0,0,0
John Smith,16,776,250,0,0,14,17.9,0,0,0,0
Matt Bahr,12,109,17,2,16.7,1,17,0,1,0,0
Rex Robinson,9,515,162,2,22.2,7,23.1,0,0,0,0
Nick Mike-Mayer,8,463,137,0,0,8,17.1,0,0,0,0
Russell Erxleben,4,183,31,1,25,2,15.5,0,0,0,0
Rodney Holman,4,161,58,0,0,3,19.3,0,0,0,0
Brian Clark,2,102,56,0,0,2,28,0,0,0,0
Jeff West,2,115,30,0,0,2,15,0,0,0,0
Don Bessillieu,1,45,13,0,0,1,13,0,0,0,0
Rich Camarillo,1,43,14,0,0,1,14,0,0,0,0
Greg Cater,1,55,22,0,0,1,22,0,0,0,0
Jeff Gossett,1,71,18,0,0,1,18,0,0,0,0
Pat McInally,1,51,18,0,0,1,18,0,0,0,0
Cliff Parsley,1,43,19,0,0,1,19,0,0,0,0
Max Runager,1,55,9,0,0,1,9,0,0,0,0
Ray Stachowicz,1,59,20,0,0,1,20,0,0,0,0
Reggie Brown,0,0,0,0,0,0,0,0,0,0,0
