Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Jim McMahon,59,59,59,1,59,59,0,0,1,0,0,0,0,0,0
Dan Doornink,54,54,54,1,54,54,1,0,1,0,0,0,0,0,0
Luke Prestridge,45,37.8,1699,45,65,2026,14,9,3,5,3,25,227,0,0
Rohn Stark,44.4,34.3,1578,46,60,2044,8,4,0,12,4,26,226,0,0
Carl Birdsong,43.8,36.2,1957,54,65,2365,8,4,4,6,4,36,288,0,0
Rich Camarillo,43.7,37.7,1849,49,76,2140,10,6,3,5,9,26,191,0,0
John Misko,43.6,33.8,1520,46,59,1961,10,8,2,2,2,31,401,1,1
Russell Erxleben,43,35.2,1617,46,60,1976,6,1,6,6,4,29,239,0,0
Dave Jennings,42.8,37.3,1829,49,73,2096,16,9,8,3,4,25,207,0,0
Danny White,41.7,37.4,1384,37,56,1542,6,8,3,2,3,21,118,0,0
Larry Swider,41.5,33.5,1308,40,59,1620,6,5,1,6,4,23,192,0,1
Jeff Gossett,41.4,30.9,1019,33,56,1366,6,5,0,5,3,20,247,1,0
Maury Buford,41.3,34.4,722,23,71,868,5,6,3,3,2,7,86,0,2
Bob Parsons,41.3,34.8,2020,58,81,2394,10,8,6,3,7,34,314,0,0
Tom Skladany,41.2,34,1223,36,59,1483,6,3,6,3,3,21,200,0,0
Greg Coleman,41.1,36,2088,58,67,2384,7,8,8,6,6,30,176,0,0
George Roberts,40.6,30.1,512,17,54,690,3,2,2,3,1,9,118,0,0
Max Runager,40.6,32.9,1448,44,53,1784,8,8,4,1,0,31,316,0,0
John James,40.5,34.1,1466,43,56,1741,7,3,4,4,5,27,195,0,0
John Goodson,40.4,35.1,1719,49,66,1981,11,7,5,4,5,28,182,0,0
Ray Stachowicz,40.2,32.4,1361,42,53,1687,7,4,6,2,3,27,286,0,0
Ray Guy,39.1,36.3,1708,47,57,1839,12,9,5,3,13,17,71,0,0
Steve Cox,39.1,32.1,1541,49,52,1877,11,4,6,6,2,30,216,0,1
Pat McInally,38.7,34,1053,31,53,1201,7,1,4,4,5,17,68,0,0
Tom Orosz,38.7,34.2,1196,35,61,1353,11,1,9,4,7,14,77,0,0
Cliff Parsley,38.6,31.3,751,24,51,926,3,1,1,2,7,13,135,0,0
Chuck Ramsey,38.5,33,1155,36,54,1348,8,4,3,2,9,17,153,1,1
Dave Smigelsky,38.5,33.9,881,26,54,1000,6,4,3,2,2,15,79,0,0
Jeff West,38.2,35.5,1706,48,52,1835,8,1,2,3,23,19,69,0,0
Jim Miller,38.1,31.6,1392,45,80,1676,11,11,6,3,4,20,224,1,1
Jeff Hayes,38,33.9,1731,52,58,1937,10,3,10,5,3,30,106,0,1
Greg Cater,37.9,36.5,1278,35,61,1328,13,6,5,1,13,10,30,0,0
Case deBruijn,34.8,16.6,83,5,56,174,1,3,0,0,0,2,91,1,0
